-1;1;1;0.001;0.014;1;0.965;0.432;0.005
1;-1;1;0.003;0.292;1;1;0.736;0.036
1;1;-1;0.003;0.415;1;1;1;0.029
0.001;0.003;0.003;-1;0.352;0.004;0.032;1;0.228
0.014;0.292;0.415;0.352;-1;0.847;1;1;1
1;1;1;0.004;0.847;-1;1;1;0.003
0.965;1;1;0.032;1;1;-1;1;0.228
0.432;0.736;1;1;1;1;1;-1;0.730
0.005;0.036;0.029;0.228;1;0.003;0.228;0.730;-1
