-1;0.002;0.102;0.001;0.005;0.001;1;0.001;0.001
0.002;-1;0.569;0.133;1;0.102;0.102;0.330;0.001
0.102;0.569;-1;0.001;0.298;0.003;0.569;0.002;0.001
0.001;0.133;0.001;-1;0.032;1;0.001;1;0.012
0.005;1;0.298;0.032;-1;0.343;0.006;0.569;0.001
0.001;0.102;0.003;1;0.343;-1;0.002;1;0.001
1;0.102;0.569;0.001;0.006;0.002;-1;0.004;0.001
0.001;0.330;0.002;1;0.569;1;0.004;-1;0.001
0.001;0.001;0.001;0.012;0.001;0.001;0.001;0.001;-1
