ID;a_LTL_em;a_IFG_em;a_Prec_em;a_ATL_em;a_aPFC_em;a_Ins_em;a_ACC_em;a_PCC_em;a_V1_em;a_LTL_ch;a_IFG_ch;a_Prec_ch;a_ATL_ch;a_aPFC_ch;a_Ins_ch;a_ACC_ch;a_PCC_ch;a_V1_ch;l_LTL_em;l_IFG_em;l_Prec_em;l_ATL_em;l_aPFC_em;l_Ins_em;l_ACC_em;l_PCC_em;l_V1_em;l_LTL_ch;l_IFG_ch;l_Prec_ch;l_ATL_ch;l_aPFC_ch;l_Ins_ch;l_ACC_ch;l_PCC_ch;l_V1_ch
sub-014;0,680877016;0,611478495;0,616426411;0,58328461;0,635477151;0,620732527;0,601838038;0,61124664;0,579946237;0,47991703;0,515377398;0,524707569;0,49175521;0,502360371;0,521228247;0,515090387;0,519587764;0,50068041;0,602850582;0,565270622;0,569780466;0,49909772;0,550953928;0,566491811;0,563540733;0,571872822;0,470003858;0,530529536;0,50652365;0,508478541;0,487376089;0,503183191;0,536690994;0,513116017;0,548383459;0,506520835
sub-015;0,586999328;0,650793011;0,611636425;0,563262769;0,640875336;0,596342406;0,581177755;0,604171707;0,55374664;0,573441204;0,560874864;0,571716433;0,558032632;0,594193743;0,581206877;0,532716091;0,549925125;0,548056418;0,503053751;0,480036278;0,522754567;0,527328193;0,519350794;0,505805705;0,5201364;0,526265681;0,491599462;0,463903595;0,483016406;0,456462896;0,489519304;0,46261925;0,464317995;0,485833824;0,451889516;0,473212746
sub-016;0,6496875;0,634438844;0,655176411;0,566357527;0,632316868;0,620540995;0,695297379;0,65358871;0,549042339;0,513403096;0,491164693;0,510270402;0,523057038;0,533289155;0,508880952;0,514343254;0,521829296;0,52301366;0,600135964;0,611302457;0,570371615;0,555919579;0,614449547;0,557182771;0,680846463;0,513540422;0,495886848;0,586242052;0,592790461;0,565699376;0,546973973;0,554990935;0,577662275;0,564591576;0,572670398;0,54715463
sub-017;0,561424731;0,571801075;0,579003696;0,588099798;0,588383737;0,582518481;0,572985551;0,585226815;0,579784946;0,516507773;0,497949292;0,538321617;0,539482635;0,507578188;0,552441496;0,547513381;0,520215142;0,546990203;0,495294143;0,536215651;0,535968302;0,523957089;0,538102661;0,537029259;0,50800229;0,529054971;0,487700991;0,576519408;0,552177813;0,561720684;0,58065551;0,580577348;0,552122046;0,58054583;0,572631245;0,544314884
sub-018;0,599638777;0,581207997;0,579828629;0,576313844;0,567903226;0,586043347;0,581611223;0,558400538;0,582515121;0,521523835;0,540442418;0,517949166;0,53979964;0,532417421;0,540843711;0,534835082;0,534117707;0,504980837;0,557587241;0,527998681;0,546406748;0,469619611;0,473793434;0,531539352;0,56756988;0,549457387;0,51037622;0,583551321;0,576455401;0,547301362;0,560051669;0,567474453;0,589344438;0,567680875;0,576085401;0,523397096
sub-019;0,597508401;0,584983199;0,567878024;0,63015121;0,607054772;0,601108871;0,581419691;0,589667339;0,560329301;0,519234002;0,518403033;0,515679832;0,517935311;0,498064217;0,526994135;0,547797276;0,519885448;0,507310941;0,580743168;0,59179143;0,542449161;0,553148957;0,563651185;0,554332811;0,542372934;0,512339456;0,515203417;0,534428851;0,562261774;0,545120254;0,539268386;0,542602349;0,54673349;0,580273907;0,538535656;0,542401917
sub-020;0,645322581;0,606972446;0,600325941;0,600712366;0,585453629;0,602293347;0,611493616;0,565268817;0,54499496;0,547758396;0,523277277;0,56526995;0,549134374;0,554678274;0,551630555;0,529217947;0,527581927;0,56697143;0,588093638;0,54518867;0,59637439;0,580060235;0,554356145;0,548606444;0,549981643;0,594246254;0,520452198;0,546564303;0,532177339;0,546647803;0,500091151;0,553349829;0,552435407;0,570320357;0,532522782;0,581464131
sub-021;0,545752688;0,566797715;0,614956317;0,549910954;0,540171371;0,60530914;0,593329973;0,581071909;0,560404906;0,58770527;0,60745292;0,618840624;0,579942323;0,613005248;0,578775498;0,574244697;0,580120225;0,54930081;0,693022576;0,648530839;0,657877215;0,658333022;0,709632305;0,601081803;0,72434258;0,582244375;0,556213598;0,525513391;0,505325477;0,510102473;0,496876516;0,533726395;0,520730628;0,516524753;0,534126378;0,527921456
sub-022;0,602757056;0,631454973;0,57015625;0,513886089;0,60594254;0,621814516;0,591224798;0,580641801;0,599406922;0,524879282;0,538119686;0,493008613;0,491283464;0,489222497;0,485862596;0,512032899;0,506546468;0,502259494;0,605002053;0,580007343;0,557504791;0,582521281;0,604474686;0,599589929;0,593371976;0,565395074;0,517703355;0,529981176;0,507424841;0,548617402;0,496600252;0,47966428;0,507540982;0,522890104;0,52980536;0,52329502
sub-023;0,629447245;0,611784274;0,589358199;0,534144825;0,572362231;0,627792339;0,60718582;0,551772513;0,566586022;0,506733738;0,47471067;0,49321697;0,486876728;0,500847473;0,481622322;0,470119399;0,469868419;0,474869067;0,594786066;0,590433343;0,582821523;0,539837216;0,592071448;0,528588274;0,585652815;0,588079637;0,527096401;0,596090209;0,530935391;0,580269452;0,539789112;0,544601605;0,54236351;0,55021173;0,574064052;0,608046485
sub-024;0,554109543;0,545374664;0,552716734;0,536004704;0,542587366;0,572118616;0,586947245;0,554168347;0,567412634;0,52452164;0,507734027;0,509987082;0,507375138;0,540037381;0,525370134;0,525752216;0,509839848;0,527404907;0,620865069;0,59968638;0,620483933;0,559934725;0,61404041;0,592228569;0,663046657;0,580455371;0,552444245;0,579538609;0,550350562;0,53020659;0,54031374;0,556596636;0,567213244;0,529001964;0,540788113;0,540152447
sub-025;0,622145497;0,661747312;0,605966062;0,577622648;0,594470766;0,575136089;0,582580645;0,595866935;0,544141465;0,530699926;0,532748499;0,532583913;0,541713988;0,566451;0,545851079;0,526339537;0,572741304;0,554517131;0,617053714;0,582560173;0,627370818;0,592962839;0,584839207;0,552805157;0,650248283;0,592101006;0,549001581;0,502922992;0,507296509;0,479454561;0,504199317;0,509392503;0,495391591;0,51219489;0,492396742;0,48831186
sub-026;0,634831989;0,606223118;0,626310484;0,576806116;0,599768145;0,608271169;0,64124832;0,567708333;0,572553763;0,541781576;0,501947182;0,54841164;0,532477363;0,534002023;0,551941562;0,561805306;0,528840068;0,484634985;0,602178539;0,567546545;0,595792575;0,495527492;0,571149442;0,578072108;0,588356544;0,539267846;0,540783055;0,57411166;0,556803979;0,548400788;0,504612609;0,594322139;0,533650207;0,552004839;0,546040716;0,553191495
sub-027;0,656448253;0,56922379;0,615095766;0,544942876;0,604200269;0,58374664;0,591999328;0,576374328;0,546886761;0,54874037;0,546168697;0,524839618;0,540687853;0,550847521;0,565843979;0,513625043;0,537245775;0,505487654;0,605834329;0,625186679;0,579742881;0,507476478;0,580824062;0,610754866;0,597981382;0,555367321;0,519374129;0,552662941;0,533722327;0,538809154;0,524611844;0,50931771;0,558215823;0,54227244;0,53811431;0,542248819
sub-028;0,57546203;0,603244288;0,582708333;0,546377688;0,608765121;0,572825941;0,599912634;0,588618952;0,568294691;0,555302795;0,575053855;0,580550786;0,577707683;0,553061423;0,559600959;0,554753639;0,561542531;0,557403628;0,541154856;0,553136512;0,537127265;0,563679187;0,49216261;0,558329289;0,535633836;0,550859033;0,520340191;0,51045505;0,518614864;0,522884697;0,482209072;0,495714667;0,538392097;0,526966885;0,522912135;0,538387112
sub-029;0,583091398;0,61562836;0,577731855;0,562103495;0,567557124;0,629030578;0,560129368;0,583346774;0,596396169;0,544387889;0,533395747;0,551023148;0,498039788;0,554161621;0,563470334;0,55350972;0,565648902;0,547375407;0,722262669;0,677291791;0,686311479;0,569058642;0,698504704;0,598438745;0,715324447;0,645375971;0,523096812;0,560143879;0,557184685;0,539994145;0,523024228;0,542890949;0,555136778;0,514271288;0,550488496;0,539035859
sub-030;0,580824933;0,593870968;0,596271841;0,543842406;0,51765961;0,60077789;0,558728159;0,587777218;0,566396169;0,579343993;0,539224175;0,548671992;0,525904734;0,520498057;0,522036289;0,549673606;0,505753568;0,514801922;0,642829363;0,61621366;0,607660668;0,544099711;0,550964817;0,601223367;0,581267423;0,548401098;0,581105635;0,587969612;0,587943436;0,616969399;0,559074928;0,586048405;0,564027228;0,559935972;0,546446071;0,59902296
