,ACC,LTL,ATL,IFG,Ins,PCC,aPFC,Prec,V1,PM
corrected,9.483178129509815e-08,5.358306693546078e-08,4.227599882276036e-06,4.135215945436919e-06,1.288804495654241e-08,7.169901560959679e-06,1.571697266156458e-07,3.0553962465407533e-07,7.169901560959679e-06,0.0
mean,0.5374722371699465,0.542942956433874,0.53126972220822,0.5340033726987244,0.5428296567942691,0.5271210907625004,0.539721255542386,0.5377960068354811,0.5283685964782926,0.0
uncorrected,3.793271251803926e-08,1.6074920080638232e-08,3.3820799058208296e-06,2.8946511618058428e-06,2.577608991308482e-09,7.169901560959679e-06,7.85848633078229e-08,1.8332377479244518e-07,6.840479527852754e-06,0.0
