,LTL,IFG,Prec,ATL,aPFC,Ins,ACC,PCC,V1,PM
corrected,9.627593040733811e-15,6.791053755608227e-16,1.4408457947940104e-18,2.3137893868907007e-12,7.042669246887464e-14,8.54192297739561e-19,6.909420117289298e-15,1.2330182918014302e-16,3.582309712247856e-15,1.2088482697337354e-13
mean,0.6039783826164874,0.5982143817204301,0.5948312051971326,0.5650428427419354,0.5823235327060932,0.5947183019713261,0.5919675739247313,0.5854081541218638,0.5710761088709678,0.5889977038530467
uncorrected,6.739315128513667e-15,2.716421502243291e-16,2.881691589588021e-19,2.3137893868907007e-12,5.634135397509971e-14,8.54192297739561e-20,4.145652070373579e-15,3.6990548754042904e-17,1.791154856123928e-15,1.0879634427603619e-13
