,V1,ACC,ATL,Ins,aPFC,IFG,LTL,PCC,Prec
corrected,6.721722618730487e-05,2.438530399816414e-07,0.00047300008356473825,1.3596084204542302e-06,1.2715958428319474e-05,5.104846828491346e-06,2.537562470318322e-07,1.2715958428319474e-05,1.931572827319389e-05
mean,0.5326272107939928,0.5372990680317606,0.5227983348016723,0.5388564397664336,0.5317983692912704,0.5346866531424435,0.5426431981542607,0.5328615047631413,0.5347271387253208
uncorrected,5.974864549982654e-05,2.7094782220182372e-08,0.00047300008356473825,4.532028068180767e-07,8.104557284003846e-06,2.26882081266282e-06,5.639027711818493e-08,8.477305618879649e-06,1.5023344212484137e-05
