,ACC,LTL,ATL,IFG,Ins,PCC,aPFC,Prec,V1,PM
corrected,5.872290512408249e-09,2.439070225411061e-07,5.893203371084027e-05,2.6487783731803013e-07,3.018433891170392e-08,6.510834579611478e-07,7.252223699728011e-06,7.360210975294467e-07,4.45347961615407e-06,0.0
mean,0.5375384910895072,0.5440897462251079,0.5256248454660949,0.5372394344959616,0.5426091636557042,0.537769703486762,0.5318765064439004,0.5375314959809692,0.534416570693854,0.0
uncorrected,1.17445810248165e-09,9.756280901644244e-08,5.893203371084027e-05,1.3243891865901506e-07,9.055301673511176e-09,3.9065007477668863e-07,6.52700132975521e-06,5.152147682706127e-07,3.562783692923256e-06,0.0
