,V1,ACC,ATL,Ins,aPFC,IFG,LTL,PCC,Prec
corrected,1.2117295205437719e-05,5.887718911834166e-07,3.933997529782951e-05,1.21302239041016e-06,1.8082730592593235e-06,4.2870008925433913e-05,1.21302239041016e-06,1.262495126062252e-05,1.8082730592593235e-06
mean,0.5298982205052598,0.5364281151402116,0.5260808073369002,0.5375872465071352,0.537806361135364,0.5302309371007574,0.5410094101571444,0.5266883196994703,0.5391651257002273
uncorrected,8.078196803625145e-06,6.541909902037961e-08,3.4968866931404005e-05,4.043407968033866e-07,8.185577757088975e-07,4.2870008925433913e-05,3.725121795676841e-07,9.819406536039738e-06,1.0045961440329575e-06
