ID;1_LTL;2_IFG;3_Prec;4_ATL;5_aPFC;6_Ins;7_ACC;8_PCC;9_V1;10_PM
sub-001;0.44612510070329003;0.35562142095063903;0.38557044331221285;0.38482537505171244;0.36549170422627214;0.4521475657020924;0.3325508415528992;0.39812705489145817;0.3734969353539313;0.4041563241666123
sub-002;0.35829141899100747;0.40077868138567724;0.35914399481786313;0.37760331613212267;0.3659169714982472;0.3966437226468091;0.37494420493391684;0.39726359222243995;0.34817890347725733;0.36596187972216776
sub-003;0.5029299213969995;0.4394535077405448;0.4478071178174059;0.4045019814052736;0.4320776721754088;0.4212581923487273;0.4373162845385068;0.3983720088401158;0.43184020293073794;0.4701503200731596
sub-004;0.458527255209354;0.413621752999325;0.5175060421974003;0.4106414799573236;0.491574264593812;0.40213953665599755;0.5070226936224879;0.39598642955124436;0.4093547912992357;0.41647410564591636
sub-005;0.457669235961417;0.38978705336730024;0.4591675376140397;0.4444546508589718;0.41259770940840895;0.3936015306900081;0.4208009449778997;0.40133118862542727;0.3895849663596578;0.3867298920025258
sub-006;0.33274476342891984;0.37351598732771574;0.3664313747904283;0.3912057449866092;0.3619861410499271;0.3355222690356435;0.3784395616957346;0.3939424249352233;0.34280624687003297;0.32004526204629086
sub-007;0.45044581618655694;0.4180377283515143;0.40002272628301433;0.4876958270733991;0.38028896400809986;0.41507582685566224;0.39841691706403637;0.40685013717421126;0.400148605395519;0.36271964204062973
sub-008;0.4335494371502602;0.4102788120277832;0.39975123565658544;0.3987979565397261;0.41400347290264977;0.4192407244104775;0.4041114159426917;0.37158085113332034;0.3984393711759967;0.41255960546084003
sub-009;0.4013393537570492;0.3618167145687722;0.4018816545822718;0.39953077710279356;0.3875062599342435;0.35394688854050993;0.39887892742831016;0.41887737605330205;0.3550798005530516;0.3571925283602238
sub-010;0.47395527140897503;0.4592512302131644;0.41748113854595337;0.4460237169856511;0.3912676639014088;0.4386186230322032;0.49294872841683535;0.436650145883685;0.4059104666100551;0.40407263156748746
sub-011;0.5414434864023342;0.5238918555533781;0.521006161952664;0.38604946436736554;0.4835037124131774;0.4771532812942278;0.5461255089598711;0.5015459315870838;0.3495696975635247;0.46715167548500885
sub-012;0.3930381366080955;0.4307726119711716;0.4024321205391165;0.4043155442332396;0.4100515491976398;0.4178744257190759;0.40320304504975285;0.32263701090861585;0.42626001589478957;0.4123289404925207
sub-013;0.4709266880048773;0.4292777124567248;0.46270031789579114;0.3805386809502036;0.3995838504583361;0.4332160276090318;0.4493748230888148;0.4152908419883729;0.41154644871208657;0.4503804951335815
sub-014;0.39404380865286215;0.3851104742308446;0.4185398839462625;0.412512655954014;0.435018480414571;0.37968066170226666;0.42387307575064775;0.40600708733424784;0.41994700829577375;0.35998704465782655
sub-015;0.41811461667428745;0.43683862433862425;0.4211942321510223;0.4234063023929279;0.4522047216234459;0.375688592766782;0.4781895725825767;0.39302724976593284;0.30762133385590174;0.3784266335706665
sub-016;0.4528579321531997;0.5064103087508437;0.4453800324427897;0.3872184390445707;0.3362292333485749;0.42432828183856985;0.3725429758094367;0.37333567400439827;0.42893885949441507;0.4367807879896357
sub-017;0.39320484137870976;0.3694545147734448;0.38704697128051035;0.300866728721667;0.2662717464672197;0.3556112145361117;0.3292922736081172;0.39440579615476734;0.36171396999586297;0.40543076512726717
sub-018;0.4758883663204651;0.42883543449387074;0.41194517930629043;0.4615333845014915;0.4372856652949246;0.3963817580072724;0.4142191684629956;0.44566581204955696;0.41646049709321314;0.44235417074923244
