,LTL,IFG,Prec,ATL,aPFC,Ins,ACC,PCC,V1,PM
corrected,5.899566390193324e-11,4.339308405308948e-15,7.384989017537033e-15,2.1927079571851497e-18,3.3567325472694323e-13,8.663026652706286e-19,7.533981550550753e-13,7.791720996214779e-20,8.483799432014278e-21,7.609739206702773e-19
mean,0.4007792824074074,0.38131331018518516,0.3864516203703704,0.3625269675925927,0.3755037037037037,0.3685605324074075,0.38504363425925925,0.3679043981481481,0.3423268518518519,0.3604633101851852
uncorrected,5.899566390193324e-11,2.603585043185369e-15,5.169492312275923e-15,1.0963539785925748e-18,2.685386037815546e-13,3.4652106610825143e-19,6.780583395495678e-13,1.558344199242956e-20,8.483799432014279e-22,2.2829217620108317e-19
