ID;1_LITG;2_IFG;3_PREC;4_ATL;5_APFC;6_AI;7_ACC;8_PCC;9_V1
sub-001;0.4586391321856438;0.4261541914158193;0.39697188424347885;0.4480398731021654;0.3827557432416236;0.41864977492053906;0.38785248066809525;0.39192677247079244;0.3759091268642763
sub-002;0.3709228317824663;0.3926984007133509;0.3697343031645357;0.36286308744780504;0.3589044215290062;0.40433161107994997;0.3632680926493219;0.3933116164013174;0.3391988225875269
sub-003;0.5313182249644044;0.4491879521364572;0.5556062523670497;0.4096863269620745;0.5227196022877085;0.4170601662088373;0.5060156920414395;0.3960735139721851;0.4063475284405517
sub-004;0.5345966187743596;0.46098113311568467;0.4470453826350836;0.39101183285153385;0.44490697794269224;0.436120189795439;0.45296498444338984;0.39920619939307644;0.42291597752561205
sub-005;0.47560416696629315;0.40543606448922065;0.4309952575110383;0.4014710464876578;0.41941241436673327;0.39416069810588084;0.42192643089653054;0.40088818296874773;0.38194375530338986
sub-006;0.42852816249826214;0.3938954087625184;0.44524639489340484;0.3322756516278111;0.3577178404836212;0.3789162088373052;0.4326793684351824;0.389953462004957;0.35665560445460776
sub-007;0.5117527913208976;0.4662653768343137;0.45819937030485197;0.3978170708029512;0.4160829042681202;0.4269011903563399;0.48941083833110416;0.4421435223137882;0.3443485339872383
sub-008;0.5398005625788018;0.4478046962266231;0.48431688743150536;0.41584350265828673;0.47589860997253014;0.4284201471286189;0.4369625299027292;0.42685244111739123;0.39701416154904523
sub-009;0.5522560081114898;0.4635895619699606;0.4738663030398911;0.4296428631353881;0.45788485232006826;0.4403884298610212;0.4489307227471679;0.38212991327609275;0.39539638794206905
sub-010;0.4873778722200649;0.4923031034119074;0.4534355479330562;0.4200286263201546;0.4919887052777418;0.4081048980550641;0.4875465619651666;0.41015991667985024;0.3201603421495448
sub-011;0.5505626986523997;0.522602208607192;0.4779087745034588;0.437626831916699;0.5083707267262085;0.49983811177748055;0.5257514633760481;0.43472099375338585;0.4003798964970061
sub-012;0.3886613225276016;0.41408547386537414;0.4108672750284046;0.3632086467426999;0.38438091762427307;0.4144998873404189;0.38148188098354213;0.40464040619771513;0.3094351500290039
sub-013;0.4419717164526134;0.3948237117257051;0.4100262832405689;0.3439565925031041;0.3181156606405776;0.3728497001337533;0.3628153869017656;0.3788040885839889;0.3560019391830023
sub-014;0.3811574753227577;0.320453316985709;0.3627410495558336;0.34872913400737315;0.35860380621593246;0.3500574384087673;0.3721970236297479;0.37362537333467566;0.33393363511718993
sub-015;0.4148409522371317;0.3766289496771224;0.40126715062346296;0.357677540713255;0.40218916142919464;0.3664671153873812;0.38593930524993647;0.39109090429688437;0.33274981063602327
sub-016;0.44653982276490584;0.42204990699592027;0.42245539159990986;0.3850055790462767;0.3994705598941479;0.3985701221996903;0.37529689994390997;0.35349936838724216;0.37869577358780016
sub-017;0.33115843412770324;0.35803706260516893;0.3600853995579909;0.3648508399131323;0.3463906986332235;0.3399300012464464;0.37010509101455946;0.36951392784033976;0.33227001864875616
sub-018;0.4248758347595557;0.47110572382582344;0.41957993556830764;0.4092729921425935;0.41035194733284425;0.4076548589837627;0.44956152651335374;0.4130246460811245;0.3396229139999904
sub-019;0.42081238943780475;0.4016359909009411;0.4007710889147766;0.3467555838403015;0.3425774115142886;0.4127222629714324;0.40026984366685364;0.3977759320782577;0.3826289412875791
sub-020;0.45711277463769157;0.4378406154568945;0.4623411080429354;0.43718287526427063;0.41577986198002814;0.39797338597172477;0.41527852684414146;0.4102217895614905;0.35003448701538403
sub-021;0.47522885475543286;0.4348766797064139;0.40200593979663746;0.39983631401820774;0.43279894938948094;0.40024039037743353;0.39102471679298917;0.39709640903577775;0.3937605168917461
sub-022;0.43049395233780624;0.4050259057111216;0.41857450873231605;0.40278859429606934;0.38418735887589706;0.417775045183683;0.41046373799696056;0.39842935764862675;0.3888792109514701
sub-023;0.4833317752752969;0.44588247208679094;0.4593508950444167;0.3689578509345951;0.42262725738639356;0.4257583847492485;0.44719019214451106;0.40037794892446055;0.3997944861524596
sub-024;0.46313065395291303;0.4316707655578088;0.40807793166597156;0.4019173402271409;0.3816807131591185;0.4231764728442469;0.44607405329996697;0.4005160767619239;0.40220842741606866
sub-025;0.636120309646057;0.5431559304482894;0.534923271634235;0.5045528852837824;0.564049278978681;0.4767711224729497;0.5222215930064767;0.47293371541710416;0.397080708604795
sub-026;0.4378126902628564;0.44476902988115613;0.45091377107573116;0.3841141301481833;0.41908126710867577;0.40701590537553994;0.40913057964552985;0.4004751777384668;0.3918657685061339
sub-027;0.5710318958450188;0.5424323023783156;0.5381103692357845;0.37916561797375753;0.48814773266600503;0.4717077035183348;0.5463488408048208;0.5005557772791992;0.3601119764325744
sub-028;0.47370884929024465;0.48790914004784436;0.4484837099039757;0.39569592459957914;0.3878233869305298;0.4306775035595633;0.3879356869597734;0.37284993983498965;0.3986032908582743
sub-029;0.4673792385171122;0.43187568015225825;0.41088354474982386;0.31744680430311656;0.4133807821930746;0.43415380070280407;0.4023565927428054;0.370694935831979;0.35969810228531157
sub-030;0.38901775826609714;0.3851256394030481;0.37962497543062323;0.39009584453936613;0.34610335677611426;0.38581382165269207;0.40327608668555515;0.3954453469195994;0.3745593392395718
