,roi,accuracy
0,LTL,0.28646782268657267
1,LTL,0.281302361989862
2,LTL,0.31903935300810304
3,LTL,0.3169951645576646
4,LTL,0.283093675999926
5,LTL,0.32710796726421726
6,LTL,0.27770447261072256
7,LTL,0.27949115005365005
8,LTL,0.29397507238132237
9,LTL,0.24049581321456326
10,LTL,0.3139914506789507
11,LTL,0.26745754245754244
12,LTL,0.3166748575498575
13,LTL,0.278009583009583
14,LTL,0.25773884564509564
15,LTL,0.30223018648018646
16,LTL,0.280953225015725
17,LTL,0.2715964567839568
18,LTL,0.2816042568542569
19,LTL,0.2941783690846191
20,LTL,0.3016895581270581
21,LTL,0.29334214859214863
22,LTL,0.3216010956635957
23,LTL,0.2863752173752174
24,LTL,0.27277573121323123
25,LTL,0.31199151311651313
26,LTL,0.3046453974266475
27,LTL,0.29990597828097826
28,LTL,0.2612555060680061
29,LTL,0.2893211360398861
30,IFG,0.24568389249639247
31,IFG,0.2580698861323862
32,IFG,0.3013767644392644
33,IFG,0.3058079039016539
34,IFG,0.3020299122174122
35,IFG,0.25922398666148666
36,IFG,0.3076280837218337
37,IFG,0.2653793347855848
38,IFG,0.27986101745476744
39,IFG,0.268277713027713
40,IFG,0.2886962643837644
41,IFG,0.2773633311133311
42,IFG,0.28625655363155367
43,IFG,0.296332369019869
44,IFG,0.3038830428830429
45,IFG,0.2725185612998113
46,IFG,0.28265989565989563
47,IFG,0.2614111906611907
48,IFG,0.32012986434861435
49,IFG,0.2843182604432604
50,IFG,0.28523611111111113
51,IFG,0.30852060555185556
52,IFG,0.28243807696932693
53,IFG,0.28515995578495573
54,IFG,0.2746184163059163
55,IFG,0.28911278767528764
56,IFG,0.311984638047138
57,IFG,0.29966896529396525
58,IFG,0.25595924561549555
59,IFG,0.26496180671180675
60,Prec,0.2962932033244533
61,Prec,0.2828940168627669
62,Prec,0.27212874509749513
63,Prec,0.3009936463998964
64,Prec,0.2915394501332001
65,Prec,0.272154341029341
66,Prec,0.3160297040922041
67,Prec,0.2825374463499463
68,Prec,0.2693947487697487
69,Prec,0.2672933062308062
70,Prec,0.30851964123839126
71,Prec,0.23306006146631145
72,Prec,0.2932384028009028
73,Prec,0.278013024013024
74,Prec,0.27361854002479
75,Prec,0.30006975547600545
76,Prec,0.3212927072927073
77,Prec,0.28633996212121215
78,Prec,0.307702047952048
79,Prec,0.28235496679246674
80,Prec,0.3047900432900433
81,Prec,0.3080967065342065
82,Prec,0.2915242165242165
83,Prec,0.2776651057276057
84,Prec,0.27156681744181743
85,Prec,0.27257566045066045
86,Prec,0.2956164946164946
87,Prec,0.3001815892440893
88,Prec,0.26520780955155954
89,Prec,0.2607981462981463
90,ATL,0.2868331945831946
91,ATL,0.2797574000074
92,ATL,0.2944914044289044
93,ATL,0.3116952306952307
94,ATL,0.2732671379546379
95,ATL,0.27263716144966144
96,ATL,0.3084647482147482
97,ATL,0.259223042004292
98,ATL,0.2549690066877567
99,ATL,0.2757173266548266
100,ATL,0.2949777421652422
101,ATL,0.26515158452658455
102,ATL,0.3003887327949828
103,ATL,0.2569007497132497
104,ATL,0.28321771978021976
105,ATL,0.2691186891811892
106,ATL,0.2934147438209938
107,ATL,0.245419459013209
108,ATL,0.2885192226754727
109,ATL,0.26622802197802203
110,ATL,0.26160933973433975
111,ATL,0.3161205403392904
112,ATL,0.3021266765641766
113,ATL,0.3082163958726459
114,ATL,0.259771814990565
115,ATL,0.3010243506493506
116,ATL,0.28554470066970067
117,ATL,0.2928038535538536
118,ATL,0.2645050632238132
119,ATL,0.2896356155418655
120,aPFC,0.2659540991415992
121,aPFC,0.2970867558367559
122,aPFC,0.29846804353054346
123,aPFC,0.30853797822547824
124,aPFC,0.26570601389351384
125,aPFC,0.27128379490879495
126,aPFC,0.2738485831298331
127,aPFC,0.2773295917045917
128,aPFC,0.27325394512894513
129,aPFC,0.26679648939023937
130,aPFC,0.29637560356310355
131,aPFC,0.25821558996558996
132,aPFC,0.2668883061383061
133,aPFC,0.2723688764938765
134,aPFC,0.2895166546416546
135,aPFC,0.27943763296888297
136,aPFC,0.30269850057350056
137,aPFC,0.24415689171939173
138,aPFC,0.3028511326636326
139,aPFC,0.27778137256262253
140,aPFC,0.2975408411033411
141,aPFC,0.29615450868575866
142,aPFC,0.30688282550782553
143,aPFC,0.3001584503459503
144,aPFC,0.28804163197913196
145,aPFC,0.25560333069708063
146,aPFC,0.3158803835053835
147,aPFC,0.2859009532134532
148,aPFC,0.2580095367595368
149,aPFC,0.3166030508843009
150,Ins,0.30224986356236355
151,Ins,0.3025601666851667
152,Ins,0.2796008644133644
153,Ins,0.306094564000814
154,Ins,0.2918911482036482
155,Ins,0.2684522537647538
156,Ins,0.32628049149924154
157,Ins,0.2514707364394864
158,Ins,0.24842299367299367
159,Ins,0.2675939165001665
160,Ins,0.3014262242387242
161,Ins,0.29067155067155065
162,Ins,0.2762377576127576
163,Ins,0.29408399933399937
164,Ins,0.32646359311984313
165,Ins,0.28602956765456766
166,Ins,0.32676866998742
167,Ins,0.26952470446220445
168,Ins,0.3476699492636992
169,Ins,0.27499876974876974
170,Ins,0.2821478452103452
171,Ins,0.31297528628778626
172,Ins,0.27325695369445374
173,Ins,0.29864232989232986
174,Ins,0.2726383223258223
175,Ins,0.3122252446627447
176,Ins,0.3026226597476598
177,Ins,0.3179718175343175
178,Ins,0.27433254708254706
179,Ins,0.2552365204240204
180,ACC,0.2550374197561698
181,ACC,0.2704561017686018
182,ACC,0.2775848757723758
183,ACC,0.32215071155696157
184,ACC,0.27417667286417285
185,ACC,0.2882272218522219
