ID;1_LTL;2_IFG;3_Prec;4_ATL;5_aPFC;6_Ins;7_ACC;8_PCC;9_V1;1_LTL_2;2_IFG_2;3_Prec_2;4_ATL_2;5_aPFC_2;6_Ins_2;7_ACC_2;8_PCC_2;9_V1_2
sub-001;0.458639132185643;0.426154191415819;0.396971884243478;0.448039873102165;0.382755743241623;0.418649774920539;0.387852480668095;0.391926772470792;0.375909126864276;0.30422635227452505;0.30864572396964424;0.31534956829807326;0.329266472268964;0.29288096316750806;0.3113169845105061;0.3006857253119712;0.3061107635443184;0.29472192858820767
sub-002;0.370922831782466;0.39269840071335;0.369734303164535;0.362863087447805;0.358904421529006;0.404331611079949;0.363268092649321;0.393311616401317;0.339198822587526;0.31740680415929584;0.2911192789307407;0.3096742520122919;0.2893817146308841;0.29911229643372494;0.3009515240204609;0.3120979311386288;0.2961510273594991;0.29075379447057187
sub-003;0.531318224964404;0.449187952136457;0.555606252367049;0.409686326962074;0.522719602287708;0.417060166208837;0.506015692041439;0.396073513972185;0.406347528440551;0.2772186446812692;0.30026858523536265;0.31965076728365766;0.3112579580810478;0.27725810549730817;0.33457378723159453;0.3113996514744023;0.33489666479699703;0.29402047288259914
sub-004;0.534596618774359;0.460981133115684;0.447045382635083;0.391011832851533;0.444906977942692;0.436120189795439;0.452964984443389;0.399206199393076;0.422915977525612;0.30585089744142896;0.2792721052480189;0.2615944386916148;0.29393534898103;0.25569080697818236;0.30707349359757996;0.26859671105933564;0.2748311904042801;0.28516596913606884
sub-005;0.475604166966293;0.40543606448922;0.430995257511038;0.401471046487657;0.419412414366733;0.39416069810588;0.42192643089653;0.400888182968747;0.381943755303389;0.28004819792610486;0.27430690387501017;0.32084429966489764;0.28740166256777555;0.301298191933574;0.3234097021472436;0.31680230760380257;0.28576174655908876;0.29889138178174723
sub-006;0.428528162498262;0.393895408762518;0.445246394893404;0.332275651627811;0.357717840483621;0.378916208837305;0.432679368435182;0.389953462004957;0.356655604454607;0.31395456702765673;0.2973854288015418;0.27375759852919324;0.29033356824054496;0.29646656407453753;0.2798220398095813;0.27560506584592964;0.27404161453164777;0.2945029615087755
sub-007;0.511752791320897;0.466265376834313;0.458199370304851;0.397817070802951;0.41608290426812;0.426901190356339;0.489410838331104;0.442143522313788;0.344348533987238;0.2529443401744066;0.27806769642317813;0.22858596045888405;0.27289500366742897;0.2558410397280829;0.2948578391892345;0.2679942519643516;0.22767066128777094;0.257764192710206
sub-008;0.539800562578801;0.447804696226623;0.484316887431505;0.415843502658286;0.47589860997253;0.428420147128618;0.436962529902729;0.426852441117391;0.397014161549045;0.29947912921334846;0.2810685461640612;0.27158737349767254;0.25955919541883;0.28501244049416813;0.261186317374025;0.2634141605902403;0.27738224077509793;0.29222313308692044
sub-009;0.552256008111489;0.46358956196996;0.473866303039891;0.429642863135388;0.457884852320068;0.440388429861021;0.448930722747167;0.382129913276092;0.395396387942069;0.28767989577790243;0.2984877548623395;0.2849554215625645;0.3130815751247645;0.29730033486262725;0.3053856373416174;0.2700719822812846;0.30604065093267746;0.30056060126658135
sub-010;0.487377872220064;0.492303103411907;0.453435547933056;0.420028626320154;0.491988705277741;0.408104898055064;0.487546561965166;0.41015991667985;0.320160342149544;0.2701527615979443;0.267198204158337;0.2732571023476339;0.2534455854223296;0.2496934820439804;0.2694506766765903;0.2519313627494691;0.24253738140781328;0.2800287222006491
sub-011;0.550562698652399;0.522602208607192;0.477908774503458;0.437626831916699;0.508370726726208;0.49983811177748;0.525751463376048;0.434720993753385;0.400379896497006;0.27609522491167016;0.2982579712646158;0.28975822534792633;0.2768120514590614;0.2740096443792457;0.288057245449272;0.2800268944787217;0.2478175801680785;0.2765271066143159
sub-012;0.388661322527601;0.414085473865374;0.410867275028404;0.363208646742699;0.384380917624273;0.414499887340418;0.381481880983542;0.404640406197715;0.309435150029003;0.30881168711318213;0.27479316779565954;0.2954097512859971;0.30206032201464095;0.26678879444660175;0.2786522078880883;0.265357927878692;0.2743159525966835;0.28552806781627377
sub-013;0.441971716452613;0.394823711725705;0.410026283240568;0.343956592503104;0.318115660640577;0.372849700133753;0.362815386901765;0.378804088583988;0.356001939183002;0.27762925289918644;0.2595026558896991;0.2852525612077107;0.26378225180135484;0.2750335282104385;0.24821982880537694;0.3035360426764081;0.25624601496694516;0.2722574583039699
sub-014;0.381157475322757;0.320453316985709;0.362741049555833;0.348729134007373;0.358603806215932;0.350057438408767;0.372197023629747;0.373625373334675;0.333933635117189;0.30093693220769635;0.3049493511287531;0.2916618726419391;0.28156451798478377;0.316059353621646;0.3064678284985594;0.33446933741784246;0.30893381489311716;0.3139333834308917
sub-015;0.414840952237131;0.376628949677122;0.401267150623462;0.357677540713255;0.402189161429194;0.366467115387381;0.385939305249936;0.391090904296884;0.332749810636023;0.29422754478817603;0.2700491207758649;0.28001853489810297;0.27161463951331066;0.2703390693839199;0.27230177307004544;0.2985320396657606;0.27748048831935873;0.3031894346886041
sub-016;0.446539822764905;0.42204990699592;0.422455391599909;0.385005579046276;0.399470559894147;0.39857012219969;0.375296899943909;0.353499368387242;0.3786957735878;0.2885479438427943;0.26065130421442717;0.2741457347561999;0.28262864166103374;0.29818147660755634;0.2968161683277962;0.2731196936138796;0.2656478165614378;0.32685936249059167
