affect;likableness;category
75.5;87;AffectiveLikable
56.5;90.5;AffectiveLikable
84.5;100;AffectiveLikable
86.5;95;AffectiveLikable
36.5;86;AffectiveLikable
60.5;99.5;AffectiveLikable
67;76;AffectiveLikable
76.5;69.5;AffectiveLikable
45;89.5;AffectiveLikable
95;80;AffectiveLikable
77.5;96;AffectiveLikable
95;90;AffectiveLikable
79.5;100;AffectiveLikable
92.5;90;AffectiveLikable
48;58.5;AffectiveLikable
77.5;97.5;AffectiveLikable
65;100;AffectiveLikable
53.5;90;AffectiveLikable
100;100;AffectiveLikable
90;99;AffectiveLikable
92.5;98;AffectiveLikable
99;67.5;AffectiveLikable
100;100;AffectiveLikable
95;80;AffectiveLikable
56;93;AffectiveLikable
65;87.5;AffectiveLikable
