high;low
85;29,5
29;30
65;82,5
63,5;28,5
60;29,5
51;11,5
59,5;27,5
73,5;65
65,5;5,5
59,5;64
56;31,5
77,5;17,5
75;2,5
39;56,5
75;70
79;55,5
90,5;43,5
45;19,5
100;0
68,5;46,5
85;27,5
80;80
93;55,5
62,5;51
77,5;12,5
67,5;42,5
75,5;4
95;87,5
95;9
88,5;40,5
94,5;40
81;0
35;2,5
91;26
45;10
49;10,5
60,5;62
74,5;77,5
58;12,5
79,5;76
38,5;26,5
79,5;39,5
72;35
89,5;47,5
55,5;10
83;20
90;60
50;10
85;0
67;40,5
85;2,5
95;73,5
97,5;60
46;36,5
62,5;7,5
95;25
49;9,5
87,5;85
41;11
83;28,5
94;87,5
100;70
100;45
90,5;77
75;54,5
79;50,5
54,5;61,5
81,5;86
54,5;69,5
78,5;48
62;74,5
90;67
80;93,5
76;46
94,5;90,5
70,5;86,5
85,5;75,5
46;45
70;95
65,5;69
90;95
95;70,5
93,5;100
45,5;57
75;70
72,5;75
30,5;95
100;100
94,5;28
85,5;86
84,5;65
80;30
7,5;0
41;46,5
54;39,5
58;24
65;36
85;68
79,5;7,5
75,5;36,5
56,5;15,5
84,5;62
86,5;20,5
36,5;22,5
60,5;65,5
67;25
76,5;80,5
45;44
95;55
77,5;45
95;30
79,5;65
92,5;54
48;55,5
77,5;17,5
65;17,5
53,5;5
100;67,5
90;76,5
92,5;70,5
99;80
100;30
95;0
56;50
65;30
87,5;40
47,5;45
83,5;63
88;60
88,5;40
65;36,5
100;74
91;50
90;46
60,5;39,5
90;67,5
80;85
25;54,5
90;65
90,5;46,5
100;62,5
89,5;74
89,5;82
60;67,5
92,5;40
92,5;55
94,5;34
100;75
88,5;98,5
83;87,5
95;17,5
80;0
100;38
55;37
76,5;20
70,5;56,5
58,5;57,5
95;71
90,5;19,5
82;85,5
63;40,5
100;54,5
95,5;40
92,5;24,5
65;45
87,5;74,5
75;55
53,5;40
100;0
74,5;54,5
100;10
