high;low
85;49,5
89;40
100;22,5
80,5;29
80,5;19
93;44,5
85;30
87;24
99,5;24
84,5;28
89;18
100;30
95;15
92;11,5
85,5;55
75;25
84;15
95;42,5
100;10
99,5;4
95;70
100;30,5
94;2,5
78,5;32
100;0
96,5;0
78,5;12
100;0
100;0
98,5;10
90,5;30
100;0
100;12,5
89;20,5
85;24,5
93,5;15
92,5;11,5
86;12,5
69,5;19,5
86;7,5
92;17
100;19,5
80,5;15
82,5;11,5
100;20
73,5;27,5
85;25
70;33
100;25
96,5;15,5
95;45
80;34,5
83,5;17,5
64,5;30,5
95;42,5
100;2,5
73;12
100;0
99,5;0
93,5;5
89,5;17,5
100;20
95,5;22,5
85;7,5
90;15
91,5;15,5
88,5;8,5
88,5;19
95;24
75;17,5
93,5;11,5
95;4,5
95,5;0
84,5;8,5
100;0
78;7,5
85;10
75,5;15
80;20
94;1
95;15
95;0
96,5;6,5
72;33
90;2,5
95;1
90,5;7,5
100;0
100;0
93,5;2
85,5;9,5
100;0
100;5
89,5;13,5
79,5;4,5
87;1
90;2,5
95,5;1,5
90,5;15
87;9,5
90,5;10,5
100;18
95;15
86;12
99,5;0,5
76;10
69,5;10
89,5;0
80;30
96;3,5
90;5
100;0
90;1,5
58,5;23
97,5;10
100;2
90;5
100;0
99;15
98;0
67,5;7
100;0
80;0
93;25
87,5;5
93;9
87;2,5
87,5;0
90,5;12,5
72,5;10
94;5
95;12,5
84,5;5
89;11,5
85;0,5
70,5;0
79;15,5
74;0,5
80;15
81,5;24,5
77,5;2,5
75;0
65,5;4
80;32
92,5;5
87,5;7,5
92,5;6
100;0
100;17,5
88;3,5
80;58
80;0
95;31
71;41,5
90;7
80;3
84;24
85;17,5
89,5;30
80,5;8
77,5;9,5
87,5;37
82,5;7,5
66,5;19,5
89,5;30
81;0
69,5;14,5
90;49,5
80;50
85;14
90;35
90;0
84,5;4
72,5;20
77,5;12,5
95;10
91;4
100;2,5
75,5;15,5
87,5;0
81;27
80;0
100;16
84;37
89;14,5
89;5,5
83;20
78;27,5
90;24,5
87,5;17
89;15,5
95;17,5
96,5;10
85;13,5
100;45,5
76;6,5
70;10,5
83;20,5
75;5
84,5;14
87,5;55
91;0
90;4
79;30
92,5;15
99;5
93,5;4
100;0
94;0
87;1,5
70;45
70;20
82,5;30
79;22,5
75;15
90;12
77;12
88;7
87;24,5
64;14,5
92;10
100;5,5
83,5;15
82;11,5
94;24,5
55;15
80;7,5
69,5;19,5
55;0
96;5
75;57,5
90;0
79;25
73;48
82,5;0
100;8,5
65,5;6,5
100;0
97;13,5
73;19,5
79;45
80;0
97,5;20
79,5;29,5
85;10,5
86;1,5
87,5;5,5
81,5;24,5
78,5;15
82;7,5
95,5;12,5
100;27
87,5;0
82,5;12
90;0,5
93;67
80;24,5
49;0
75;55
95,5;7
95;47,5
100;0
79;5,5
73;20,5
87,5;0
85;3,5
79;19
95;0
100;0
93,5;1
78;40
80;60
97;2,5
75,5;33
89,5;5
82,5;3
86,5;8
89;5,5
80;10
88;7,5
89;9
100;4,5
92,5;12,5
84,5;12
99,5;5
79,5;7
80;18,5
80,5;10
100;15
93;6,5
95;7,5
100;0
95,5;19
79;36,5
87,5;12,5
97,5;5
89;5,5
100;0
89,5;0
83;0,5
69,5;35
80;10
72,5;10,5
74;28,5
75;9
80;17
65;11,5
75;22,5
85;23
80,5;13
74,5;20,5
67,5;32,5
77,5;42,5
72;15,5
80;40
51;15,5
39,5;16,5
70,5;29,5
40;10
82;6,5
77,5;22,5
80;0
49,5;8,5
79,5;25
77,5;22,5
70;5
73;0
75;0
89,5;20,5
71;1,5
91,5;44,5
100;10
74,5;20
84,5;24
90;4,5
94,5;17,5
84;22
91,5;28
91,5;30
89,5;12,5
90,5;8,5
100;17,5
95;11
78,5;8,5
95;24,5
82,5;10
80;16
85;4,5
70;20
96;4,5
92,5;30
100;0
85;14,5
74,5;25,5
87,5;7,5
80;0
76;19,5
97,5;0
90;9,5
95;20,5
80;35
70;0
90;22,5
79,5;14
84,5;9
73;1
68,5;7
75,5;19,5
60;2
80;10
89;9
85;5
88;15
83,5;6
70;30,5
55,5;9
45,5;2,5
80;19
57,5;20
80;0,5
75;15
69,5;10
72;2,5
48,5;28,5
42,5;0
57,5;1
87,5;2,5
95;0
74,5;0
84;4
81,5;10
70;10
97;36
77;28,5
89,5;10,5
92,5;5,5
91;6
75;17,5
90;24,5
89,5;12
89,5;12
100;7
90;30
89;11,5
89,5;65,5
52,5;13,5
37,5;56
74,5;5
65;5
73,5;4
100;25
99,5;5
98,5;1
49;31,5
100;25
100;0
96,5;1
100;0
99,5;24,5
88,5;4
87,5;50,5
100;20
100;38,5
80,5;25,5
94,5;14
99;24
88;16
82,5;27,5
94,5;10,5
88,5;24,5
90;7,5
95;9
90;21
88;22,5
100;55
93;9,5
77;15,5
65,5;39,5
85;0
96;11
100;22,5
100;0
99,5;4,5
75,5;28,5
100;12,5
97,5;2,5
94,5;6
100;0
99;12,5
87,5;2
84,5;25
100;10
100;42,5
91;21,5
90,5;9,5
94,5;22
86,5;13
82;19
87,5;18
90,5;85
92,5;9,5
98,5;27,5
94,5;45
88;13
100;1
93,5;20,5
69;9,5
90;24,5
75;50
95,5;23
87,5;60
100;0
95;21
71,5;29,5
97,5;17,5
100;2
51,5;9
100;0
99,5;40
97;7
75;40
20;10
72,5;35
86,5;24
80;15
76,5;13,5
56,5;7
82;15,5
59,5;20
77,5;13
76,5;8,5
86;9
80;4,5
90,5;17
80,5;60
69,5;10,5
80;12,5
60,5;28,5
70;10
63,5;4
62,5;12,5
59,5;5
49,5;6
69;29,5
62,5;27,5
85;0
91;4,5
90;0
60;0,5
90,5;0
85;45
100;0
97,5;30
94,5;20,5
83;15
83,5;9,5
81,5;16,5
76,5;30
70,5;40,5
93;10
78;16
55;20
80;20
67,5;16
99,5;10
45;29,5
20;12,5
66,5;29,5
80;35
75,5;3,5
50;45
80;0
90,5;9,5
77,5;22,5
67,5;0
65;12,5
89;37
82,5;0
99,5;1
71;5,5
