rating;class
82,5;high
42;high
80;high
31;high
26;high
46;high
73;high
64;high
59,5;high
70;high
50;high
0;high
68,5;high
100;high
60;high
90;high
58;high
75;high
92,5;high
94;high
100;high
10;high
0;high
0,5;high
0;high
80;high
28;high
9,5;high
59,5;high
83;high
76;high
12,5;high
30,5;high
43,5;high
37;high
40;high
71;high
60;high
79;high
20;high
60;high
5;high
65;high
75;high
86;high
81;high
65;high
45;high
65;high
97;high
95;high
30,5;high
5,5;high
44,5;high
0;high
95;high
53,5;high
30;high
71,5;high
57,5;high
40,5;high
60;high
79;high
31;high
65;high
70;high
91,5;high
20;high
91;high
55,5;high
44,5;high
0;high
56;high
30;high
95;high
84;high
62,5;high
52,5;high
100;high
97,5;high
77,5;high
8,5;high
41;high
55,5;high
40;high
100;high
56;high
85;high
87;high
66;high
81,5;high
85,5;high
88,5;high
75;high
80;high
31;high
89,5;high
45;high
70;high
44,5;high
95;high
0;high
85,5;high
80;high
95;high
90,5;high
74,5;high
80;high
100;high
99,5;high
90;high
54,5;high
29;high
15;high
0;high
75;high
66;high
0;high
20,5;high
53,5;high
83;high
14;high
13;high
31,5;high
11;high
60,5;high
81,5;high
65;high
79,5;high
44,5;high
60;high
0;high
44;high
92,5;high
70;high
100;high
30;high
80;high
100;high
38;high
87,5;high
29;high
19;high
59,5;high
69;high
65;high
24;high
85;high
81;high
77;high
77;high
74,5;high
91,5;high
82,5;high
81;high
62,5;high
94,5;high
49,5;high
89,5;high
64,5;high
89,5;high
0;high
89;high
75;high
100;high
98;high
49;high
70;high
100;high
98,5;high
75;high
19,5;high
31;high
85,5;high
20;high
100;high
45;high
80;high
54,5;high
60,5;high
64,5;high
65;high
84;high
56,5;high
67;high
80;high
74;high
55,5;high
82,5;high
55;high
44,5;high
0;high
66;high
85;high
100;high
95,5;high
73;high
60;high
85;high
66;high
35;high
36,5;high
64;high
54,5;high
10;high
85;high
62,5;high
75;high
61,5;high
67;high
68,5;high
80;high
85;high
56;high
70;high
50;high
85;high
60;high
74,5;high
43,5;high
65,5;high
35;high
61,5;high
92,5;high
94,5;high
75;high
43,5;high
85;high
100;high
94,5;high
5;high
36;high
19;high
29,5;likableness
30;likableness
82,5;likableness
28,5;likableness
29,5;likableness
11,5;likableness
27,5;likableness
65;likableness
5,5;likableness
64;likableness
31,5;likableness
17,5;likableness
2,5;likableness
56,5;likableness
70;likableness
55,5;likableness
43,5;likableness
19,5;likableness
0;likableness
46,5;likableness
27,5;likableness
80;likableness
55,5;likableness
51;likableness
12,5;likableness
42,5;likableness
4;likableness
87,5;likableness
9;likableness
40,5;likableness
40;likableness
0;likableness
2,5;likableness
26;likableness
10;likableness
10,5;likableness
62;likableness
77,5;likableness
12,5;likableness
76;likableness
26,5;likableness
39,5;likableness
35;likableness
47,5;likableness
10;likableness
20;likableness
60;likableness
10;likableness
0;likableness
40,5;likableness
2,5;likableness
73,5;likableness
60;likableness
36,5;likableness
7,5;likableness
25;likableness
9,5;likableness
85;likableness
11;likableness
28,5;likableness
87,5;likableness
70;likableness
45;likableness
77;likableness
54,5;likableness
50,5;likableness
61,5;likableness
86;likableness
69,5;likableness
48;likableness
74,5;likableness
67;likableness
93,5;likableness
46;likableness
90,5;likableness
86,5;likableness
75,5;likableness
45;likableness
95;likableness
69;likableness
95;likableness
70,5;likableness
100;likableness
57;likableness
70;likableness
75;likableness
95;likableness
100;likableness
28;likableness
86;likableness
65;likableness
30;likableness
0;likableness
46,5;likableness
39,5;likableness
24;likableness
36;likableness
68;likableness
7,5;likableness
36,5;likableness
15,5;likableness
62;likableness
20,5;likableness
22,5;likableness
65,5;likableness
25;likableness
80,5;likableness
44;likableness
55;likableness
45;likableness
30;likableness
65;likableness
54;likableness
55,5;likableness
17,5;likableness
17,5;likableness
5;likableness
67,5;likableness
76,5;likableness
70,5;likableness
80;likableness
30;likableness
0;likableness
50;likableness
30;likableness
40;likableness
45;likableness
63;likableness
60;likableness
40;likableness
36,5;likableness
74;likableness
50;likableness
46;likableness
39,5;likableness
67,5;likableness
85;likableness
54,5;likableness
65;likableness
46,5;likableness
62,5;likableness
74;likableness
82;likableness
67,5;likableness
40;likableness
55;likableness
34;likableness
75;likableness
98,5;likableness
87,5;likableness
17,5;likableness
0;likableness
38;likableness
37;likableness
20;likableness
56,5;likableness
57,5;likableness
71;likableness
19,5;likableness
85,5;likableness
40,5;likableness
54,5;likableness
40;likableness
24,5;likableness
45;likableness
74,5;likableness
55;likableness
40;likableness
0;likableness
54,5;likableness
10;likableness
80,5;likableness
69,5;likableness
55,5;likableness
30;likableness
15;likableness
39;likableness
100;likableness
39;likableness
35,5;likableness
49;likableness
0;likableness
5;likableness
32,5;likableness
10;likableness
21;likableness
75,5;likableness
62,5;likableness
13;likableness
22;likableness
24;likableness
68,5;likableness
22,5;likableness
32,5;likableness
65;likableness
14,5;likableness
56,5;likableness
23,5;likableness
0;likableness
45,5;likableness
10;likableness
75;likableness
55;likableness
43;likableness
25;likableness
12,5;likableness
85,5;likableness
75;likableness
11,5;likableness
11;likableness
83,5;likableness
70;likableness
15;likableness
33;likableness
50;likableness
70,5;likableness
64;likableness
73,5;likableness
90;likableness
70;likableness
52,5;likableness
75;likableness
80;likableness
61,5;likableness
69,5;likableness
88;likableness
85;likableness
40,5;likableness
95;likableness
65;likableness
75;likableness
80;likableness
87;likableness
50,5;likableness
40;likableness
65;likableness
18;likableness
100;likableness
89,5;likableness
84,5;likableness
35;likableness
60;likableness
75;likableness
59;likableness
75;likableness
19;likableness
78,5;likableness
73,5;likableness
40;likableness
94;likableness
52,5;likableness
37;likableness
25,5;likableness
74,5;likableness
71,5;likableness
71,5;likableness
33,5;likableness
69;likableness
0;likableness
76,5;likableness
50;likableness
90;likableness
64,5;likableness
66;likableness
62,5;likableness
90;likableness
98,5;likableness
100;likableness
11;likableness
48,5;likableness
85;likableness
20;likableness
55;likableness
32;likableness
60;likableness
55,5;likableness
50;likableness
70,5;likableness
65;likableness
37;likableness
55,5;likableness
69;likableness
89,5;likableness
59;likableness
75;likableness
75,5;likableness
72;likableness
44,5;likableness
55;likableness
57;likableness
95;likableness
89;likableness
63;likableness
52,5;likableness
62,5;likableness
47,5;likableness
85,5;likableness
95;likableness
50;likableness
71,5;likableness
43,5;likableness
30;likableness
0;likableness
32;likableness
14,5;likableness
20;likableness
26;likableness
62;likableness
13,5;likableness
20;likableness
18,5;likableness
18,5;likableness
38,5;likableness
10;likableness
60,5;likableness
58;likableness
56,5;likableness
40;likableness
90;likableness
45,5;likableness
0;likableness
45;likableness
70,5;likableness
68,5;likableness
5;likableness
5;likableness
33;likableness
5;likableness
100;likableness
61,5;likableness
25;likableness
50;likableness
0;likableness
42,5;likableness
25;likableness
20;likableness
25;likableness
72,5;likableness
7,5;likableness
17,5;likableness
21,5;likableness
20;likableness
10;likableness
11,5;likableness
74,5;likableness
25,5;likableness
81,5;likableness
35,5;likableness
60;likableness
32;likableness
0;likableness
49,5;likableness
80,5;likableness
56;likableness
20;likableness
5;likableness
1,5;likableness
2,5;likableness
93;likableness
73,5;likableness
34,5;likableness
9;likableness
0;likableness
22;likableness
3;likableness
50;likableness
51,5;likableness
60,5;likableness
28;likableness
