,ROI,Classification accuracy
0,LTL,0.5997517174432496
1,LTL,0.5949774118876942
2,LTL,0.6712916293309438
3,LTL,0.5284669329948227
4,LTL,0.6182733472720031
5,LTL,0.6613089904420549
6,LTL,0.5857772675228993
7,LTL,0.6829745992632417
8,LTL,0.6592368578255675
9,LTL,0.6673713784348865
10,LTL,0.6662186379928317
11,LTL,0.55008898347272
12,LTL,0.5246275761648744
13,LTL,0.602850582437276
14,LTL,0.5030537509956192
15,LTL,0.600135964257268
16,LTL,0.49529414326961363
17,LTL,0.5575872411389885
18,LTL,0.5807431675627239
19,LTL,0.5880936379928317
20,LTL,0.6930225756670649
21,LTL,0.6050020534647551
22,LTL,0.5947860663082437
23,LTL,0.62086506869773
24,LTL,0.6170537136598965
25,LTL,0.6021785394265232
26,LTL,0.6058343289526086
27,LTL,0.5411548561330147
28,LTL,0.7222626692552768
29,LTL,0.6428293633014736
30,IFG,0.5073349138789327
31,IFG,0.5393534075069693
32,IFG,0.6626095181202708
33,IFG,0.5429858622062923
34,IFG,0.5626913455794503
35,IFG,0.6481341472520907
36,IFG,0.5621982029072083
37,IFG,0.5640929908403026
38,IFG,0.5727066532258065
39,IFG,0.6284691109119872
40,IFG,0.6169977100756672
41,IFG,0.510466447630426
42,IFG,0.49542481829948226
43,IFG,0.5652706217642374
44,IFG,0.48003627787733966
45,IFG,0.6113024566905616
46,IFG,0.5362156511350059
47,IFG,0.5279986808044603
48,IFG,0.5917914302070888
49,IFG,0.5451886698526484
50,IFG,0.648530839307049
51,IFG,0.5800073426921546
52,IFG,0.590433343289526
53,IFG,0.5996863799283154
54,IFG,0.5825601727399443
55,IFG,0.567546545201115
56,IFG,0.6251866786140979
57,IFG,0.5531365118478694
58,IFG,0.677291791119076
59,IFG,0.6162136598964555
60,Prec,0.6462689167662286
61,Prec,0.5465949820788532
62,Prec,0.6142286439665472
63,Prec,0.535426933990442
64,Prec,0.5713485663082437
65,Prec,0.6176573078454799
66,Prec,0.5858566059338908
67,Prec,0.6206068299482278
68,Prec,0.63211401085225
69,Prec,0.6658406137992832
70,Prec,0.6708327110712863
71,Prec,0.5806093812226204
72,Prec,0.5086307745917961
73,Prec,0.5697804659498208
74,Prec,0.522754567403425
75,Prec,0.5703716148944644
76,Prec,0.5359683019713262
77,Prec,0.5464067478096375
78,Prec,0.5424491611907606
79,Prec,0.5963743901831939
80,Prec,0.6578772152528873
81,Prec,0.5575047914177618
82,Prec,0.5828215227996814
83,Prec,0.6204839331939467
84,Prec,0.6273708183990443
85,Prec,0.5957925751692553
86,Prec,0.5797428813221823
87,Prec,0.5371272650338511
88,Prec,0.686311479490243
89,Prec,0.6076606680605338
90,ATL,0.6152927120669057
91,ATL,0.6044202384508164
92,ATL,0.5647603668857029
93,ATL,0.5035686728395061
94,ATL,0.5598522749900438
95,ATL,0.5464285269812824
96,ATL,0.554461930007965
97,ATL,0.552343127737953
98,ATL,0.5123721251493429
99,ATL,0.5676336618876943
100,ATL,0.6302285568498606
101,ATL,0.5283564814814815
102,ATL,0.45772973914774995
103,ATL,0.49909772003185976
104,ATL,0.5273281934488251
105,ATL,0.5559195788530467
106,ATL,0.5239570888092393
107,ATL,0.46961961121067297
108,ATL,0.5531489570888093
109,ATL,0.5800602349661489
110,ATL,0.6583330222023099
111,ATL,0.5825212813620071
112,ATL,0.5398372162485066
113,ATL,0.5599347247112704
114,ATL,0.5929628385105535
115,ATL,0.49552749153723613
116,ATL,0.5074764784946236
117,ATL,0.5636791865790521
118,ATL,0.5690586419753086
119,ATL,0.5440997112704101
120,aPFC,0.6283555480884111
121,aPFC,0.5430216422739944
122,aPFC,0.6036626344086021
123,aPFC,0.5443610613301474
124,aPFC,0.5602474113898844
125,aPFC,0.6339014585822381
126,aPFC,0.5820639187574671
127,aPFC,0.5717499253285544
128,aPFC,0.5711587763839108
129,aPFC,0.6036921918558343
130,aPFC,0.6671784772003186
131,aPFC,0.5250009333930705
132,aPFC,0.450693511051374
133,aPFC,0.5509539277180406
134,aPFC,0.519350794006372
135,aPFC,0.6144495469932298
136,aPFC,0.5381026607925129
137,aPFC,0.4737934338908801
138,aPFC,0.5636511847869374
139,aPFC,0.5543561454599761
140,aPFC,0.7096323053564317
141,aPFC,0.6044746863799283
142,aPFC,0.5920714481282358
143,aPFC,0.6140404096973318
144,aPFC,0.584839207487057
145,aPFC,0.5711494424532059
146,aPFC,0.5808240616288332
147,aPFC,0.4921626095181203
148,aPFC,0.6985047043010751
149,aPFC,0.5509648173038629
150,Ins,0.5397889909398645
151,Ins,0.5507268020708881
152,Ins,0.5745734393667862
153,Ins,0.5500189789924332
154,Ins,0.5700791517323774
155,Ins,0.5629106929510155
156,Ins,0.5196432571684587
157,Ins,0.5421598093389088
158,Ins,0.5175555680007965
159,Ins,0.5783910170250895
160,Ins,0.6063772525886101
161,Ins,0.5462698501592991
