ID;LTL;IFG;Prec;ATL;aPFC;Ins;ACC;PCC;V1
sub-001;0.6606786247533728;0.6329212881494517;0.6155010753834943;0.6629528164382588;0.6123242503421675;0.6216079871664979;0.6432379708135586;0.6320798672212447;0.5695726461543932
sub-002;0.5932441397611677;0.6092006406805889;0.5954713219437101;0.5505240815216336;0.6070249438004496;0.6003184831664204;0.5989444084447324;0.5920123496154889;0.5909482438426207
sub-003;0.7130810181482073;0.6218650571464123;0.7549446532999164;0.6678443671234825;0.7260912698412697;0.6356000817646955;0.7367153477665795;0.5690743925416376;0.605410467658508
sub-004;0.7857369487548658;0.7287375131090136;0.6797236886542598;0.6190379539273715;0.6756470075898968;0.6502211868323291;0.7224330773742869;0.6420799338772463;0.5755152508931903
sub-005;0.7051729501057609;0.6428846940045149;0.6400393714783412;0.6320622033807924;0.6273044090723262;0.6299683161805222;0.7088151451323342;0.6335404113119679;0.6106989548338934
sub-006;0.730380361364404;0.6572465072255105;0.7032916955509341;0.5758931904228657;0.6389157734762437;0.5949288113901776;0.662686747898114;0.6356262997920333;0.5931757585452995
sub-007;0.7476312678860271;0.6961581702483159;0.7283238015250894;0.6323837074956897;0.6671302591585347;0.6445209877530707;0.7166207851188254;0.6949232567233686;0.5877626246467232
sub-008;0.7398282941396044;0.7250581018148206;0.6879241543575251;0.6039159290069145;0.7041945510940472;0.6486904317531417;0.6341123198066088;0.6258613066353828;0.5812878828276364
sub-009;0.7768749222346647;0.6437575543468601;0.6926590634387387;0.6302204980536448;0.6506465632165521;0.6360446772960772;0.6719286025347055;0.6326711059563803;0.5795258314225279
sub-010;0.6814276382445474;0.6273444026733501;0.6441106089692316;0.6212908156917116;0.6725721662311807;0.6087950372384863;0.7197460628521657;0.6497303764730976;0.5337863719582645
sub-011;0.7248854627704011;0.6858961455056081;0.7254689249720043;0.6835209699781369;0.7279286425283065;0.6609836870545158;0.7474871798290053;0.6747605938605381;0.6289362590874349
sub-012;0.5982369487548659;0.5813002141879522;0.6411811887875718;0.6056088803569206;0.5838014806519846;0.6097297765690823;0.6125427709344283;0.580967489646101;0.5270223430917719
sub-013;0.6276263575605682;0.5969993689898505;0.6063565385093941;0.5106448523791748;0.5381794468440605;0.5802429389075526;0.6077265415311328;0.5833121145061235;0.5728510105049859
sub-014;0.5696989592776268;0.5423725537247372;0.5860135711619475;0.5774518299294336;0.5704462841500917;0.5829801676176256;0.6018427051671733;0.609738997315985;0.5619055395581153
sub-015;0.667159254519277;0.6436630139177731;0.6209948630441352;0.5443350175083098;0.6051069606640713;0.6289017090598839;0.6169861711015127;0.6227356956220338;0.5131236779892995
sub-016;0.6528154384187419;0.6536504159334506;0.6193943413498285;0.6151084715334435;0.6173110080164952;0.6240955891501804;0.6167292122149345;0.5746924936454612;0.583421430348922
sub-017;0.5552158321335253;0.5992658952345402;0.5891208517748272;0.5780998373593559;0.5879942542526528;0.5802511598144298;0.5728600090652162;0.5756224559626016;0.5294015179793455
sub-018;0.6640917453207487;0.6934540473524236;0.6346890053147053;0.6079576156703816;0.6813670923763311;0.6049695382072202;0.7393365950336835;0.5728986695462059;0.5592535194368901
sub-019;0.6147210890701932;0.6190937227821326;0.6387602428055955;0.544159712223822;0.5488878446115287;0.6123892399438312;0.6329011802556037;0.6098678655859509;0.5758511971417907
sub-020;0.6730926385111716;0.6160262135836044;0.6613219662631756;0.6421333697719476;0.6086723901953466;0.6271056630939049;0.6102900202634245;0.6489730532003768;0.5793678566984838
sub-021;0.6670690467303009;0.6600078431895342;0.6497860342345223;0.5834003226150483;0.6608789260385006;0.6081227003679411;0.6112688636484829;0.6250576574414761;0.583870025240406
sub-022;0.6909797765690823;0.6505108071597433;0.6797158010273913;0.6541320055457793;0.6511557039762528;0.6390597504399296;0.7074891350717218;0.6452609804653479;0.5988444071170835
sub-023;0.6953086395065678;0.6661058675056435;0.691487695302085;0.6058340665493521;0.6697977212534884;0.649174243232194;0.7007502132992054;0.6205541557795197;0.5961246200607904
sub-024;0.6828334133205354;0.6362589763415631;0.6221051298458914;0.6123591336497273;0.6474952896425462;0.6621651646847616;0.664791188965321;0.6283494640857463;0.5883378659414494
sub-025;0.7981003039513678;0.7510366119198705;0.7314458575516808;0.7282517019499104;0.8015336435059279;0.6762481336319524;0.7845151442435877;0.6562302253861604;0.6225298396700972
sub-026;0.6404243098881957;0.6183128477221422;0.6458899909347838;0.5464598997493735;0.6362074290335769;0.6506047921221493;0.6449775813647595;0.5777131214561226;0.595407734762438
sub-027;0.8005875726550418;0.7421479229989868;0.7671713636929202;0.6261519268028227;0.786637360244583;0.6723365372651487;0.7820975310616967;0.7093849428535879;0.5762926820597594
sub-028;0.7182107529461951;0.6749212348246503;0.6773059643790327;0.6163289429246877;0.6308215130023641;0.6870116336941645;0.6547526840150021;0.6152474492970014;0.6328588536945199
sub-029;0.6828528546543663;0.6756888897776355;0.6320272089798966;0.5558209575356832;0.6432177518263745;0.6700636787002969;0.6609846868945414;0.6064395252315186;0.5617662285145488
sub-030;0.6061102445830889;0.6272188672034696;0.6064240832577901;0.6104435512540216;0.5766905072966103;0.6345689134182975;0.6071571881832241;0.6150941404930766;0.5787379574823585
