ID;1_LITG_1;2_IFG_1;3_PREC_1;4_ATL_1;5_APFC_1;6_AI_1;7_ACC_1;8_PCC_1;9_V1_1
sub-001;0.6945946041062624;0.6669268209842416;0.634202540665389;0.6380105633262078;0.6279260114133373;0.6487086217893591;0.6136088600279294;0.6044669859903026;0.6399358537274559
sub-002;0.6029687021007233;0.5866371987391448;0.586636204189278;0.5531277130735335;0.5611590250135142;0.5883112309251186;0.5918695255880131;0.5843495877883317;0.5531327150743339
sub-003;0.7313789733729749;0.6813952838079677;0.6975130393897325;0.590202470790948;0.6679825137291759;0.6308197410908808;0.6810750387508805;0.6548951461066883;0.6359911919811784
sub-004;0.6607488518068046;0.6233803590880796;0.6198116883814929;0.5817690800735499;0.6217919697118613;0.653171282219028;0.5879621695169296;0.6255744293331368;0.6501046005024818
sub-005;0.6696996077305192;0.6179896227496847;0.6466103985453832;0.5748123180193129;0.6328745743545956;0.6040093275979982;0.5903023170159877;0.5712455669402264;0.5821471955010075
sub-006;0.6048709971927367;0.619307696580094;0.6525522599390633;0.5924366932445493;0.5731960172592429;0.6424450692192081;0.6156794534334201;0.6257536649528231;0.5856906742960342
sub-007;0.6428298073615412;0.5883598715436467;0.6059733688797156;0.5783429992976723;0.6145732168964076;0.6123110446664045;0.6503000761708191;0.6004485977505037;0.6037480534977149
sub-008;0.6892368021770112;0.6109144068811735;0.6531840093493537;0.5827890037593985;0.6362425799998362;0.6277609938346683;0.6283089962958868;0.6163618298196472;0.5767533685623372
sub-009;0.703396352144659;0.6337751484000033;0.6556761529538716;0.6291708770496504;0.6152224861070159;0.6375160416871427;0.6268017687703736;0.5756312311108654;0.5814972160282242
sub-010;0.6591068216394745;0.6832344277257687;0.669491065797664;0.5935972488410569;0.6911579845754091;0.626703688602634;0.617547545333923;0.6359028891161728;0.5789271227496847
sub-011;0.6779035837653776;0.6572989036623421;0.6303352527048831;0.5561003842326404;0.5974402983049946;0.6434829094283913;0.6449760852806036;0.5733971174361557;0.6020497846433895
sub-012;0.6373253714863139;0.6207993815216145;0.61619626834652;0.5677590370943699;0.597893471167707;0.638062757997936;0.61039096285444;0.6050204401936213;0.5588335882598653
sub-013;0.648394935459564;0.6346078764107982;0.6227466132651891;0.5857893303520237;0.5729497290509771;0.63843850588481;0.5965797612904812;0.6205469888978983;0.5694679214887709
sub-014;0.6707883884547972;0.6044313065138337;0.6329397649044998;0.5865193262977706;0.6021907940807902;0.6364122878683637;0.6443718697274231;0.6557371843108588;0.5952785545870395
sub-015;0.6029370172776712;0.6402801645146362;0.6319247554650516;0.5874885846151326;0.6317890825921012;0.626675386894524;0.6181642320670958;0.627011180934362;0.5888876923210805
sub-016;0.635681831212017;0.6290508939321343;0.6100155541017577;0.6043297966116271;0.6127248203740561;0.615891693848592;0.6078881781148132;0.5728286453470277;0.6130412325749014
sub-017;0.6054894883757597;0.5518839096311039;0.6058607507330417;0.586760604278261;0.5761754327096336;0.5584853550338263;0.5829863094726194;0.5691030770860976;0.591916493388291
sub-018;0.6160605186884696;0.6665715683203105;0.6120831400908316;0.6075398872999492;0.5948047841212508;0.5968496161256901;0.6067532751404655;0.6264607725400101;0.5743695111451013
sub-019;0.6201280749873049;0.6409254217037693;0.6139121355779155;0.5858084754369584;0.6019692050796926;0.6663324467213787;0.5907795684063099;0.6236314079725457;0.6384660525394369
sub-020;0.64401071100955;0.6657746349636345;0.6331719758444313;0.5995464560093043;0.6628520660822809;0.6212477425180598;0.6459917921847101;0.6183189220498141;0.5991291033957443
sub-021;0.632748077301096;0.6137248183264534;0.6139449740056842;0.6228761689251724;0.6485250350140056;0.6332535728107033;0.5901059775152752;0.6057238109059413;0.5832657752428457
sub-022;0.6050319707561387;0.6168153482153095;0.6146941598276738;0.5881215113969565;0.5603282358264944;0.6207143164283258;0.5750196953781512;0.6280459689358199;0.5976220742317394
sub-023;0.6791493452278572;0.6577023901665929;0.6585351885637295;0.6093433005512147;0.6531826080212787;0.6388917235388307;0.6681222306173931;0.5828764363932707;0.604284352629941
sub-024;0.6178209962713156;0.6169458508915262;0.6013314088427769;0.5890411665397153;0.5822532357241142;0.6114634139474503;0.622412354927351;0.5948378657018364;0.6071455318238407
sub-025;0.7406649538470359;0.6753281539223877;0.6556283990204269;0.6174799936421937;0.7037846799904172;0.6567146458364047;0.6594706742346061;0.6428089026180648;0.6233448779731191
sub-026;0.6328366233189183;0.6755922690713713;0.6264550008599931;0.6013137226747424;0.6123071094300293;0.593109189947909;0.6032237520373647;0.6161243591003652;0.575290330861877
sub-027;0.6984908464482285;0.6840797420942062;0.7006643702802758;0.5865463226591806;0.6647042826633577;0.6531690106598195;0.7209356430803315;0.6719712117303062;0.5950403160167576
sub-028;0.6889400981518339;0.7056686536091045;0.6754035568905925;0.6366230245753272;0.6395463293138893;0.6628475101663472;0.6173950565240717;0.610907054707848;0.6052148280730422
sub-029;0.6334144311964552;0.6392967521438401;0.6091159526676168;0.5371151274837421;0.6434742071170574;0.6329318944317494;0.599838949651498;0.5855510661867086;0.6244247260307632
sub-030;0.648583135739676;0.6157055603674219;0.647964606164103;0.6445055333902566;0.636395862255721;0.6252955266536439;0.6751996540575295;0.6353697317742887;0.6101439259914492
