;ROI;Classification accuracy;Class
210;PCC;0.52358871;affect
211;PCC;0.584252352;affect
212;PCC;0.581339046;affect
213;PCC;0.642357191;affect
214;PCC;0.583088038;affect
215;PCC;0.613101478;affect
216;PCC;0.61999496;affect
217;PCC;0.60171707;affect
218;PCC;0.573217406;affect
219;PCC;0.556313844;affect
220;PCC;0.585436828;affect
221;PCC;0.590539315;affect
222;PCC;0.572380712;affect
223;PCC;0.61124664;affect
224;PCC;0.604171707;affect
225;PCC;0.65358871;affect
226;PCC;0.585226815;affect
227;PCC;0.558400538;affect
228;PCC;0.589667339;affect
229;PCC;0.565268817;affect
230;PCC;0.581071909;affect
231;PCC;0.580641801;affect
232;PCC;0.551772513;affect
233;PCC;0.554168347;affect
234;PCC;0.595866935;affect
235;PCC;0.567708333;affect
236;PCC;0.576374328;affect
237;PCC;0.588618952;affect
238;PCC;0.583346774;affect
239;PCC;0.587777218;affect
240;V1;0.553657594;affect
241;V1;0.599385081;affect
242;V1;0.63374496;affect
243;V1;0.586965726;affect
244;V1;0.52890961;affect
245;V1;0.537699933;affect
246;V1;0.589489247;affect
247;V1;0.593850806;affect
248;V1;0.51937332;affect
249;V1;0.584569892;affect
250;V1;0.568035954;affect
251;V1;0.612315188;affect
252;V1;0.585446909;affect
253;V1;0.579946237;affect
254;V1;0.55374664;affect
255;V1;0.549042339;affect
256;V1;0.579784946;affect
257;V1;0.582515121;affect
258;V1;0.560329301;affect
259;V1;0.54499496;affect
260;V1;0.560404906;affect
261;V1;0.599406922;affect
262;V1;0.566586022;affect
263;V1;0.567412634;affect
264;V1;0.544141465;affect
265;V1;0.572553763;affect
266;V1;0.546886761;affect
267;V1;0.568294691;affect
268;V1;0.596396169;affect
269;V1;0.566396169;affect
270;PM;0.537199261;affect
271;PM;0.547219422;affect
272;PM;0.578336694;affect
273;PM;0.661281922;affect
274;PM;0.56172547;affect
275;PM;0.545295699;affect
276;PM;0.605683804;affect
277;PM;0.54202621;affect
278;PM;0.564558132;affect
279;PM;0.525737567;affect
280;PM;0.554855511;affect
281;PM;0.611586022;affect
282;PM;0.630082325;affect
283;PM;0.645912298;affect
284;PM;0.626772513;affect
285;PM;0.667750336;affect
286;PM;0.596364247;affect
287;PM;0.565525874;affect
288;PM;0.63109039;affect
289;PM;0.599826949;affect
290;PM;0.571359207;affect
291;PM;0.59312164;affect
292;PM;0.593225806;affect
293;PM;0.560803091;affect
294;PM;0.628022513;affect
295;PM;0.590036962;affect
296;PM;0.573466062;affect
297;PM;0.592627688;affect
298;PM;0.560898858;affect
299;PM;0.607538642;affect
300;LTL;0.599751717;likableness
301;LTL;0.594977412;likableness
302;LTL;0.671291629;likableness
