,ROI,Classification accuracy
0,LTL,0.6606786247533728
1,LTL,0.5932441397611677
2,LTL,0.7130810181482073
3,LTL,0.7857369487548658
4,LTL,0.7051729501057609
5,LTL,0.7303803613644041
6,LTL,0.7476312678860271
7,LTL,0.7398282941396044
8,LTL,0.7768749222346647
9,LTL,0.6814276382445474
10,LTL,0.7248854627704011
11,LTL,0.5982369487548659
12,LTL,0.6276263575605682
13,LTL,0.5696989592776268
14,LTL,0.667159254519277
15,LTL,0.6528154384187419
16,LTL,0.5552158321335253
17,LTL,0.6640917453207487
18,LTL,0.6147210890701932
19,LTL,0.6730926385111716
20,LTL,0.6670690467303009
21,LTL,0.6909797765690823
22,LTL,0.6953086395065678
23,LTL,0.6828334133205354
24,LTL,0.7981003039513678
25,LTL,0.6404243098881957
26,LTL,0.8005875726550418
27,LTL,0.7182107529461951
28,LTL,0.6828528546543663
29,LTL,0.6061102445830889
30,IFG,0.6329212881494517
31,IFG,0.6092006406805889
32,IFG,0.6218650571464123
33,IFG,0.7287375131090136
34,IFG,0.6428846940045149
35,IFG,0.6572465072255105
36,IFG,0.6961581702483159
37,IFG,0.7250581018148206
38,IFG,0.6437575543468601
39,IFG,0.6273444026733501
40,IFG,0.6858961455056081
41,IFG,0.5813002141879522
42,IFG,0.5969993689898505
43,IFG,0.5423725537247372
44,IFG,0.6436630139177731
45,IFG,0.6536504159334506
46,IFG,0.5992658952345402
47,IFG,0.6934540473524236
48,IFG,0.6190937227821326
49,IFG,0.6160262135836044
50,IFG,0.6600078431895342
51,IFG,0.6505108071597433
52,IFG,0.6661058675056435
53,IFG,0.6362589763415631
54,IFG,0.7510366119198705
55,IFG,0.6183128477221422
56,IFG,0.7421479229989868
57,IFG,0.6749212348246503
58,IFG,0.6756888897776355
59,IFG,0.6272188672034696
60,Prec,0.6155010753834943
61,Prec,0.5954713219437101
62,Prec,0.7549446532999164
63,Prec,0.6797236886542598
64,Prec,0.6400393714783412
65,Prec,0.7032916955509341
66,Prec,0.7283238015250894
67,Prec,0.6879241543575251
68,Prec,0.6926590634387387
69,Prec,0.6441106089692316
70,Prec,0.7254689249720043
71,Prec,0.6411811887875718
72,Prec,0.6063565385093941
73,Prec,0.5860135711619475
74,Prec,0.6209948630441352
75,Prec,0.6193943413498285
76,Prec,0.5891208517748272
77,Prec,0.6346890053147053
78,Prec,0.6387602428055955
79,Prec,0.6613219662631756
80,Prec,0.6497860342345223
81,Prec,0.6797158010273913
82,Prec,0.691487695302085
83,Prec,0.6221051298458914
84,Prec,0.7314458575516808
85,Prec,0.6458899909347838
86,Prec,0.7671713636929202
87,Prec,0.6773059643790327
88,Prec,0.6320272089798966
89,Prec,0.6064240832577901
90,ATL,0.6629528164382588
