ID;LTL;IFG;Prec;ATL;aPFC;Ins;ACC;PCC;V1;LTL_2;IFG_2;Prec_2;ATL_2;aPFC_2;Ins_2;ACC_2;PCC_2;V1_2
sub-001;0.5997517174432496;0.5073349138789327;0.6462689167662286;0.6152927120669057;0.6283555480884111;0.5397889909398645;0.680704898446834;0.48906685583432896;0.5180191532258064;0.4982546432795445;0.4928842703993871;0.5061511029624258;0.4864321205693827;0.4769791517090553;0.5042002974150751;0.5121428641329995;0.47629354320628786;0.5022308650525837
sub-002;0.5949774118876942;0.5393534075069693;0.5465949820788532;0.6044202384508164;0.5430216422739944;0.5507268020708881;0.5714605734767025;0.5647603668857029;0.513509309040223;0.5756812630254076;0.53206163075052;0.5228680293345395;0.5484717457267944;0.5605753711567666;0.5687175450517636;0.5279156782416107;0.5439173286593644;0.5538910220599407
sub-003;0.6712916293309438;0.6626095181202708;0.6142286439665472;0.5647603668857029;0.6036626344086021;0.5745734393667862;0.6573560707885304;0.5713532332735961;0.5186445265830346;0.4985849248754924;0.48275462865738783;0.5097568498055771;0.4754430002641028;0.5049076976901773;0.49615763424670944;0.5098668860269094;0.49998129989038;0.51697223669712
sub-004;0.5284669329948227;0.5429858622062923;0.535426933990442;0.5035686728395061;0.5443610613301474;0.5500189789924332;0.5363323252688171;0.5398652180406213;0.5437372436280365;0.5066024411741262;0.5690547404346332;0.5983843453977876;0.5535429087872584;0.5510078125952935;0.5874556596182156;0.5519282870340761;0.5510179723191055;0.5937330556978457
sub-005;0.6182733472720031;0.5626913455794503;0.5713485663082437;0.5598522749900438;0.5602474113898844;0.5700791517323774;0.6440318847072879;0.5508932571684587;0.5369545873158104;0.5028980886761477;0.5563641826219179;0.5312719699496481;0.4935169162379871;0.5226007422924439;0.5394067016957074;0.5432715986329999;0.5532334649576538;0.5226902182778214
sub-006;0.6613089904420549;0.6481341472520907;0.6176573078454799;0.5464285269812824;0.6339014585822381;0.5629106929510155;0.5713719011350059;0.5766455719832736;0.5415639934289128;0.5575014482530611;0.5614498219188908;0.5633019018953659;0.5266017961058318;0.5328111118995115;0.5813152075821095;0.5562277955202041;0.5831329835755509;0.5244244379920273
sub-007;0.5857772675228993;0.5621982029072083;0.5858566059338908;0.554461930007965;0.5820639187574671;0.5196432571684587;0.654230759657507;0.5811600831342095;0.47451681352050973;0.5325080756603838;0.5319210245021634;0.5333860042491048;0.5436772623681004;0.5288073174338628;0.5326280152271824;0.5316752698905824;0.535110611391865;0.5338036266385938
sub-008;0.6829745992632417;0.5640929908403026;0.6206068299482278;0.552343127737953;0.5717499253285544;0.5421598093389088;0.5946600582437276;0.5663751368976504;0.5333812475109518;0.500016707118178;0.5200234385165087;0.5220260907682306;0.5427565990241023;0.5233111771109694;0.5682214930098871;0.5218107827101417;0.5262525362445032;0.48063940142099926
sub-009;0.6592368578255675;0.5727066532258065;0.63211401085225;0.5123721251493429;0.5711587763839108;0.5175555680007965;0.6092225457984867;0.5666784896455596;0.5130846151931501;0.5448639047611076;0.5338371146293239;0.5528957366791992;0.5379470622572914;0.5221183291412134;0.5243593018590441;0.5157983321653322;0.5335414456006052;0.5300279962145557
sub-010;0.6673713784348865;0.6284691109119872;0.6658406137992832;0.5676336618876943;0.6036921918558343;0.5783910170250895;0.654011412285942;0.6183153499601752;0.5291234194544007;0.5576112489550976;0.5488847386024898;0.5122507899352331;0.5741245468489048;0.5191206927261617;0.5402193429825042;0.5324894531189641;0.5476995075963301;0.48715051035354323
sub-011;0.6662186379928317;0.6169977100756672;0.6708327110712863;0.6302285568498606;0.6671784772003186;0.6063772525886101;0.6870084129828754;0.6272510329549981;0.5825508388092393;0.5714345614651892;0.5748717706685436;0.5489750702830408;0.5136079615315556;0.5485477706149354;0.5525078398202617;0.5573502479872887;0.5707760866792906;0.5640821246357609
sub-012;0.55008898347272;0.510466447630426;0.5806093812226204;0.5283564814814815;0.5250009333930705;0.5462698501592991;0.5526480361409797;0.5198283801274393;0.46072748655913975;0.5669676051426122;0.5226720332830999;0.5258036964764732;0.5700072296191123;0.5390602334685007;0.5587726834066413;0.544762024611476;0.4759054895165199;0.5103520907486964
sub-013;0.5246275761648744;0.49542481829948226;0.5086307745917961;0.45772973914774995;0.450693511051374;0.4777199074074074;0.5220327434289128;0.5119412086818;0.5002209030266825;0.5686388897833689;0.5293987231217019;0.5517337151724954;0.5273685164289083;0.5093751413191334;0.5223444554567512;0.5322782619590669;0.5683280066159622;0.5344197818234931
sub-014;0.602850582437276;0.5652706217642374;0.5697804659498208;0.49909772003185976;0.5509539277180406;0.5664918110314616;0.5635407332735962;0.5718728220828355;0.47000385802469136;0.5305295356923269;0.5065236500542152;0.5084785414026873;0.4873760888795361;0.5031831912108019;0.5366909940857795;0.5131160173070143;0.5483834589008408;0.5065208354708219
sub-015;0.5030537509956192;0.48003627787733966;0.522754567403425;0.5273281934488251;0.519350794006372;0.5058057048984468;0.5201363998407009;0.5262656810035843;0.49159946236559143;0.4639035952730683;0.48301640605228613;0.4564628960387859;0.48951930372126184;0.462619249592245;0.4643179947045052;0.4858338239267118;0.45188951605074845;0.4732127463865321
sub-016;0.600135964257268;0.6113024566905616;0.5703716148944644;0.5559195788530467;0.6144495469932298;0.5571827708084429;0.6808464630625248;0.5135404221425727;0.4958868478693748;0.5862420520718116;0.5927904613275816;0.5656993756796503;0.5469739727081031;0.5549909346255819;0.5776622747453833;0.564591576005474;0.5726703984553979;0.5471546302342071
sub-017;0.49529414326961363;0.5362156511350059;0.5359683019713262;0.5239570888092393;0.5381026607925129;0.5370292587614497;0.5080022899243329;0.5290549706292315;0.4877009906411788;0.5765194077187866;0.5521778134770039;0.561720683504213;0.5806555096443303;0.5805773483785616;0.5521220460997854;0.5805458297566511;0.5726312453872604;0.544314883963417
sub-018;0.5575872411389885;0.5279986808044603;0.5464067478096375;0.46961961121067297;0.4737934338908801;0.5315393518518519;0.5675698800278773;0.5494573874950218;0.510376219633612;0.5835513207279215;0.5764554006792041;0.5473013615155473;0.5600516688412766;0.5674744526796771;0.5893444375161707;0.5676808752179375;0.5760854011532361;0.5233970962233431
sub-019;0.5807431675627239;0.5917914302070888;0.5424491611907606;0.5531489570888093;0.5636511847869374;0.5543328106332138;0.542372934090004;0.5123394563918757;0.5152034174631621;0.5344288512771921;0.5622617743000128;0.5451202542396253;0.5392683861056822;0.5426023493685709;0.546733490332948;0.5802739068907982;0.5385356557682591;0.5424019173082381
sub-020;0.5880936379928317;0.5451886698526484;0.5963743901831939;0.5800602349661489;0.5543561454599761;0.5486064441457587;0.5499816432696136;0.594246253982477;0.52045219782955;0.5465643033928144;0.5321773387421548;0.5466478029160756;0.5000911510455197;0.5533498292185783;0.5524354070970465;0.5703203566138204;0.5325227819611498;0.581464131014994
sub-021;0.6930225756670649;0.648530839307049;0.6578772152528873;0.6583330222023099;0.7096323053564317;0.6010818025686977;0.7243425801473516;0.5822443747510953;0.5562135976702509;0.5255133906444049;0.5053254774375514;0.5101024730414191;0.4968765155945109;0.5337263946968668;0.5207306277824949;0.5165247526592919;0.5341263775951869;0.5279214559719135
sub-022;0.6050020534647551;0.5800073426921546;0.5575047914177618;0.5825212813620071;0.6044746863799283;0.5995899293110315;0.5933719758064515;0.565395074173636;0.5177033552369573;0.529981175575067;0.5074248408428438;0.5486174022261504;0.4966002521295462;0.4796642803287362;0.5075409816912837;0.5228901044355033;0.5298053597231365;0.5232950196647642
sub-023;0.5947860663082437;0.590433343289526;0.5828215227996814;0.5398372162485066;0.5920714481282358;0.5285882740939865;0.5856528151135006;0.5880796370967741;0.5270964008363201;0.5960902089134825;0.5309353909996058;0.5802694521708475;0.5397891119739898;0.5446016048528278;0.542363510394581;0.5502117300297225;0.5740640515059932;0.6080464849513877
sub-024;0.62086506869773;0.5996863799283154;0.6204839331939467;0.5599347247112704;0.6140404096973318;0.5922285692951015;0.6630466572082836;0.5804553713659897;0.5524442453205894;0.5795386086880675;0.5503505615046173;0.5302065900126083;0.5403137399687056;0.556596636273142;0.5672132440992906;0.5290019639976676;0.5407881130229159;0.540152446628058
sub-025;0.6170537136598965;0.5825601727399443;0.6273708183990443;0.5929628385105535;0.584839207487057;0.5528051573078455;0.6502482825567503;0.592101005575468;0.5490015805455993;0.5029229918710759;0.50729650927771;0.479454561466365;0.5041993170264817;0.5093925026159538;0.4953915914346973;0.5121948895768853;0.49239674153416446;0.4883118596075467
sub-026;0.6021785394265232;0.567546545201115;0.5957925751692553;0.49552749153723613;0.5711494424532059;0.5780721077260056;0.5883565437076861;0.5392678464755077;0.5407830545599362;0.5741116600549276;0.5568039794127135;0.5484007879089686;0.5046126085457032;0.5943221393866827;0.5336502070382488;0.5520048391720921;0.5460407156291599;0.5531914954728709
sub-027;0.6058343289526086;0.6251866786140979;0.5797428813221823;0.5074764784946236;0.5808240616288332;0.6107548660892075;0.597981381919554;0.5553673212863401;0.5193741288331343;0.5526629409248581;0.5337223269757736;0.5388091540308082;0.5246118438470426;0.5093177102699044;0.5582158225127178;0.5422724396536762;0.5381143098053847;0.5422488186673924
sub-028;0.5411548561330147;0.5531365118478694;0.5371272650338511;0.5636791865790521;0.4921626095181203;0.5583292886300278;0.5356338361210673;0.5508590327558741;0.5203401906610912;0.5104550502966938;0.518614864408086;0.5228846971989982;0.48220907246135347;0.49571466708098616;0.5383920969892546;0.5269668850138949;0.5229121354901146;0.5383871119867204
sub-029;0.7222626692552768;0.677291791119076;0.686311479490243;0.5690586419753086;0.6985047043010751;0.5984387445240941;0.7153244474313023;0.6453759707287933;0.5230968115292712;0.5601438793576909;0.5571846851422777;0.5399941445461444;0.5230242282166332;0.5428909485489086;0.5551367775971662;0.5142712879707642;0.5504884957954594;0.5390358594319494
sub-030;0.6428293633014736;0.6162136598964555;0.6076606680605338;0.5440997112704101;0.5509648173038629;0.6012233671843887;0.5812674233373157;0.5484010976702509;0.5811056352050975;0.5879696121033301;0.5879434361386386;0.6169693986210579;0.5590749275038372;0.5860484050309639;0.5640272281779191;0.5599359724256565;0.5464460705710336;0.5990229602184804
