,ID,accuracy,ROI,class,cv
209,sub-030,7.5405899,ACC,affect,chunk
210,sub-001,3.2277306,PCC,affect,chunk
211,sub-002,9.876821,PCC,affect,chunk
212,sub-003,9.8619988,PCC,affect,chunk
213,sub-004,8.9521581,PCC,affect,chunk
214,sub-005,3.7442923,PCC,affect,chunk
215,sub-006,9.449717,PCC,affect,chunk
216,sub-007,7.8896061,PCC,affect,chunk
217,sub-008,10.7512808,PCC,affect,chunk
218,sub-009,2.935582,PCC,affect,chunk
219,sub-010,7.197124,PCC,affect,chunk
220,sub-011,2.9857017,PCC,affect,chunk
221,sub-012,8.3715216,PCC,affect,chunk
222,sub-013,16.6553774,PCC,affect,chunk
223,sub-014,14.7041263,PCC,affect,chunk
224,sub-015,9.492788,PCC,affect,chunk
225,sub-016,3.0381535,PCC,affect,chunk
226,sub-017,4.0464815,PCC,affect,chunk
227,sub-018,9.8429394,PCC,affect,chunk
228,sub-019,6.2487391,PCC,affect,chunk
229,sub-020,4.81913,PCC,affect,chunk
230,sub-021,7.592397,PCC,affect,chunk
231,sub-022,9.5807791,PCC,affect,chunk
232,sub-023,5.6946507,PCC,affect,chunk
233,sub-024,10.0328378,PCC,affect,chunk
234,sub-025,12.4703032,PCC,affect,chunk
235,sub-026,13.3187177,PCC,affect,chunk
236,sub-027,18.4039482,PCC,affect,chunk
237,sub-028,10.8303045,PCC,affect,chunk
238,sub-029,4.3284089,PCC,affect,chunk
239,sub-030,9.6816317,PCC,affect,chunk
240,sub-001,7.4918053,V1,affect,chunk
241,sub-002,4.698637,V1,affect,chunk
242,sub-003,7.3562393,V1,affect,chunk
243,sub-004,8.5087632,V1,affect,chunk
244,sub-005,4.4431,V1,affect,chunk
245,sub-006,5.3511649,V1,affect,chunk
246,sub-007,8.3008368,V1,affect,chunk
247,sub-008,5.2563996,V1,affect,chunk
248,sub-009,5.8426184,V1,affect,chunk
249,sub-010,2.2732506,V1,affect,chunk
250,sub-011,8.7507178,V1,affect,chunk
251,sub-012,2.3045036,V1,affect,chunk
252,sub-013,10.9799186,V1,affect,chunk
253,sub-014,3.9590573,V1,affect,chunk
254,sub-015,9.4553994,V1,affect,chunk
255,sub-016,14.1272043,V1,affect,chunk
256,sub-017,6.4108282,V1,affect,chunk
257,sub-018,0.8868879,V1,affect,chunk
258,sub-019,6.7735305,V1,affect,chunk
259,sub-020,1.5670456,V1,affect,chunk
260,sub-021,5.1172433,V1,affect,chunk
261,sub-022,8.7325356,V1,affect,chunk
262,sub-023,7.5831972,V1,affect,chunk
263,sub-024,8.1078579,V1,affect,chunk
264,sub-025,9.5320904,V1,affect,chunk
265,sub-026,6.962361,V1,affect,chunk
266,sub-027,8.4952051,V1,affect,chunk
267,sub-028,12.6029364,V1,affect,chunk
268,sub-029,6.098786,V1,affect,chunk
269,sub-030,6.849684,V1,affect,chunk
270,sub-001,9.0537125,LTL,likableness,chunk
271,sub-002,9.1544855,LTL,likableness,chunk
272,sub-003,15.906268,LTL,likableness,chunk
273,sub-004,32.1540519,LTL,likableness,chunk
274,sub-005,14.738374,LTL,likableness,chunk
275,sub-006,15.2811574,LTL,likableness,chunk
276,sub-007,17.0930678,LTL,likableness,chunk
277,sub-008,17.0340082,LTL,likableness,chunk
278,sub-009,24.4710133,LTL,likableness,chunk
279,sub-010,15.4580195,LTL,likableness,chunk
280,sub-011,15.3387967,LTL,likableness,chunk
281,sub-012,7.0946296,LTL,likableness,chunk
282,sub-013,2.4083374,LTL,likableness,chunk
283,sub-014,-0.271508,LTL,likableness,chunk
284,sub-015,15.2757365,LTL,likableness,chunk
285,sub-016,14.7318938,LTL,likableness,chunk
286,sub-017,4.047695,LTL,likableness,chunk
287,sub-018,10.7892796,LTL,likableness,chunk
288,sub-019,7.9008204,LTL,likableness,chunk
289,sub-020,10.3466367,LTL,likableness,chunk
290,sub-021,10.4096911,LTL,likableness,chunk
291,sub-022,17.5303409,LTL,likableness,chunk
292,sub-023,13.9600459,LTL,likableness,chunk
293,sub-024,18.3924103,LTL,likableness,chunk
294,sub-025,22.460972,LTL,likableness,chunk
295,sub-026,7.1948955,LTL,likableness,chunk
296,sub-027,29.8556104,LTL,likableness,chunk
297,sub-028,16.4034193,LTL,likableness,chunk
298,sub-029,13.9831924,LTL,likableness,chunk
299,sub-030,10.2810329,LTL,likableness,chunk
300,sub-001,8.6415701,IFG,likableness,chunk
301,sub-002,5.7656953,IFG,likableness,chunk
302,sub-003,5.3317667,IFG,likableness,chunk
303,sub-004,25.680029,IFG,likableness,chunk
304,sub-005,6.8481581,IFG,likableness,chunk
305,sub-006,13.7741342,IFG,likableness,chunk
306,sub-007,12.3192929,IFG,likableness,chunk
307,sub-008,14.2855736,IFG,likableness,chunk
308,sub-009,11.4572322,IFG,likableness,chunk
309,sub-010,11.7085538,IFG,likableness,chunk
310,sub-011,17.5712423,IFG,likableness,chunk
311,sub-012,10.3707949,IFG,likableness,chunk
312,sub-013,4.3161792,IFG,likableness,chunk
313,sub-014,-2.2316031,IFG,likableness,chunk
314,sub-015,7.152825,IFG,likableness,chunk
315,sub-016,15.3196695,IFG,likableness,chunk
316,sub-017,8.9884884,IFG,likableness,chunk
317,sub-018,13.820463,IFG,likableness,chunk
318,sub-019,8.4039003,IFG,likableness,chunk
319,sub-020,4.9555029,IFG,likableness,chunk
320,sub-021,13.7695444,IFG,likableness,chunk
321,sub-022,12.178275,IFG,likableness,chunk
322,sub-023,9.1950929,IFG,likableness,chunk
323,sub-024,16.2686735,IFG,likableness,chunk
324,sub-025,22.7497839,IFG,likableness,chunk
325,sub-026,7.0827468,IFG,likableness,chunk
326,sub-027,22.4481921,IFG,likableness,chunk
327,sub-028,11.7512362,IFG,likableness,chunk
328,sub-029,13.8344273,IFG,likableness,chunk
