ROI;Classification accuracy;Class
V1;0.63374496;affect
V1;0.586965726;affect
V1;0.52890961;affect
V1;0.537699933;affect
V1;0.589489247;affect
V1;0.593850806;affect
V1;0.51937332;affect
V1;0.584569892;affect
V1;0.568035954;affect
V1;0.612315188;affect
V1;0.585446909;affect
V1;0.579946237;affect
V1;0.55374664;affect
V1;0.549042339;affect
V1;0.579784946;affect
V1;0.582515121;affect
V1;0.560329301;affect
V1;0.54499496;affect
V1;0.560404906;affect
V1;0.599406922;affect
V1;0.566586022;affect
V1;0.567412634;affect
V1;0.544141465;affect
V1;0.572553763;affect
V1;0.546886761;affect
V1;0.568294691;affect
V1;0.596396169;affect
V1;0.566396169;affect
LTL;0.599751717;likableness
LTL;0.594977412;likableness
LTL;0.671291629;likableness
LTL;0.528466933;likableness
LTL;0.618273347;likableness
LTL;0.66130899;likableness
LTL;0.585777268;likableness
LTL;0.682974599;likableness
LTL;0.659236858;likableness
LTL;0.667371378;likableness
LTL;0.666218638;likableness
LTL;0.550088983;likableness
LTL;0.524627576;likableness
LTL;0.602850582;likableness
LTL;0.503053751;likableness
LTL;0.600135964;likableness
LTL;0.495294143;likableness
LTL;0.557587241;likableness
LTL;0.580743168;likableness
LTL;0.588093638;likableness
LTL;0.693022576;likableness
LTL;0.605002053;likableness
LTL;0.594786066;likableness
LTL;0.620865069;likableness
LTL;0.617053714;likableness
LTL;0.602178539;likableness
LTL;0.605834329;likableness
LTL;0.541154856;likableness
LTL;0.722262669;likableness
LTL;0.642829363;likableness
IFG;0.507334914;likableness
IFG;0.539353408;likableness
IFG;0.662609518;likableness
IFG;0.542985862;likableness
IFG;0.562691346;likableness
IFG;0.648134147;likableness
IFG;0.562198203;likableness
IFG;0.564092991;likableness
IFG;0.572706653;likableness
IFG;0.628469111;likableness
IFG;0.61699771;likableness
IFG;0.510466448;likableness
IFG;0.495424818;likableness
IFG;0.565270622;likableness
IFG;0.480036278;likableness
IFG;0.611302457;likableness
IFG;0.536215651;likableness
IFG;0.527998681;likableness
IFG;0.59179143;likableness
IFG;0.54518867;likableness
IFG;0.648530839;likableness
IFG;0.580007343;likableness
IFG;0.590433343;likableness
IFG;0.59968638;likableness
IFG;0.582560173;likableness
IFG;0.567546545;likableness
IFG;0.625186679;likableness
IFG;0.553136512;likableness
IFG;0.677291791;likableness
IFG;0.61621366;likableness
Prec;0.646268917;likableness
Prec;0.546594982;likableness
Prec;0.614228644;likableness
Prec;0.535426934;likableness
Prec;0.571348566;likableness
Prec;0.617657308;likableness
Prec;0.585856606;likableness
Prec;0.62060683;likableness
Prec;0.632114011;likableness
Prec;0.665840614;likableness
Prec;0.670832711;likableness
Prec;0.580609381;likableness
Prec;0.508630775;likableness
Prec;0.569780466;likableness
Prec;0.522754567;likableness
Prec;0.570371615;likableness
Prec;0.535968302;likableness
Prec;0.546406748;likableness
Prec;0.542449161;likableness
Prec;0.59637439;likableness
Prec;0.657877215;likableness
Prec;0.557504791;likableness
Prec;0.582821523;likableness
Prec;0.620483933;likableness
Prec;0.627370818;likableness
Prec;0.595792575;likableness
Prec;0.579742881;likableness
Prec;0.537127265;likableness
Prec;0.686311479;likableness
Prec;0.607660668;likableness
ATL;0.615292712;likableness
ATL;0.604420238;likableness
ATL;0.564760367;likableness
ATL;0.503568673;likableness
ATL;0.559852275;likableness
ATL;0.546428527;likableness
ATL;0.55446193;likableness
ATL;0.552343128;likableness
ATL;0.512372125;likableness
ATL;0.567633662;likableness
ATL;0.630228557;likableness
ATL;0.528356481;likableness
ATL;0.457729739;likableness
ATL;0.49909772;likableness
ATL;0.527328193;likableness
ATL;0.555919579;likableness
ATL;0.523957089;likableness
ATL;0.469619611;likableness
ATL;0.553148957;likableness
ATL;0.580060235;likableness
ATL;0.658333022;likableness
ATL;0.582521281;likableness
ATL;0.539837216;likableness
ATL;0.559934725;likableness
ATL;0.592962839;likableness
ATL;0.495527492;likableness
ATL;0.507476478;likableness
ATL;0.563679187;likableness
ATL;0.569058642;likableness
ATL;0.544099711;likableness
aPFC;0.628355548;likableness
aPFC;0.543021642;likableness
aPFC;0.603662634;likableness
aPFC;0.544361061;likableness
aPFC;0.560247411;likableness
aPFC;0.633901459;likableness
aPFC;0.582063919;likableness
aPFC;0.571749925;likableness
aPFC;0.571158776;likableness
aPFC;0.603692192;likableness
aPFC;0.667178477;likableness
aPFC;0.525000933;likableness
aPFC;0.450693511;likableness
aPFC;0.550953928;likableness
aPFC;0.519350794;likableness
aPFC;0.614449547;likableness
aPFC;0.538102661;likableness
aPFC;0.473793434;likableness
aPFC;0.563651185;likableness
aPFC;0.554356145;likableness
aPFC;0.709632305;likableness
aPFC;0.604474686;likableness
aPFC;0.592071448;likableness
aPFC;0.61404041;likableness
aPFC;0.584839207;likableness
aPFC;0.571149442;likableness
aPFC;0.580824062;likableness
aPFC;0.49216261;likableness
aPFC;0.698504704;likableness
aPFC;0.550964817;likableness
Ins;0.539788991;likableness
Ins;0.550726802;likableness
Ins;0.574573439;likableness
Ins;0.550018979;likableness
Ins;0.570079152;likableness
Ins;0.562910693;likableness
Ins;0.519643257;likableness
Ins;0.542159809;likableness
Ins;0.517555568;likableness
Ins;0.578391017;likableness
Ins;0.606377253;likableness
Ins;0.54626985;likableness
Ins;0.477719907;likableness
Ins;0.566491811;likableness
Ins;0.505805705;likableness
Ins;0.557182771;likableness
Ins;0.537029259;likableness
Ins;0.531539352;likableness
Ins;0.554332811;likableness
Ins;0.548606444;likableness
Ins;0.601081803;likableness
Ins;0.599589929;likableness
Ins;0.528588274;likableness
Ins;0.592228569;likableness
Ins;0.552805157;likableness
Ins;0.578072108;likableness
Ins;0.610754866;likableness
Ins;0.558329289;likableness
Ins;0.598438745;likableness
Ins;0.601223367;likableness
ACC;0.680704898;likableness
ACC;0.571460573;likableness
ACC;0.657356071;likableness
ACC;0.536332325;likableness
ACC;0.644031885;likableness
ACC;0.571371901;likableness
ACC;0.65423076;likableness
ACC;0.594660058;likableness
ACC;0.609222546;likableness
ACC;0.654011412;likableness
ACC;0.687008413;likableness
ACC;0.552648036;likableness
ACC;0.522032743;likableness
ACC;0.563540733;likableness
ACC;0.5201364;likableness
ACC;0.680846463;likableness
ACC;0.50800229;likableness
ACC;0.56756988;likableness
ACC;0.542372934;likableness
ACC;0.549981643;likableness
ACC;0.72434258;likableness
ACC;0.593371976;likableness
ACC;0.585652815;likableness
ACC;0.663046657;likableness
ACC;0.650248283;likableness
ACC;0.588356544;likableness
ACC;0.597981382;likableness
ACC;0.535633836;likableness
ACC;0.715324447;likableness
ACC;0.581267423;likableness
PCC;0.489066856;likableness
PCC;0.564760367;likableness
PCC;0.571353233;likableness
PCC;0.539865218;likableness
PCC;0.550893257;likableness
PCC;0.576645572;likableness
PCC;0.581160083;likableness
PCC;0.566375137;likableness
PCC;0.56667849;likableness
PCC;0.61831535;likableness
PCC;0.627251033;likableness
PCC;0.51982838;likableness
PCC;0.511941209;likableness
PCC;0.571872822;likableness
PCC;0.526265681;likableness
PCC;0.513540422;likableness
PCC;0.529054971;likableness
PCC;0.549457387;likableness
PCC;0.512339456;likableness
PCC;0.594246254;likableness
PCC;0.582244375;likableness
PCC;0.565395074;likableness
PCC;0.588079637;likableness
PCC;0.580455371;likableness
PCC;0.592101006;likableness
PCC;0.539267846;likableness
PCC;0.555367321;likableness
PCC;0.550859033;likableness
PCC;0.645375971;likableness
PCC;0.548401098;likableness
V1;0.518019153;likableness
V1;0.513509309;likableness
V1;0.518644527;likableness
V1;0.543737244;likableness
V1;0.536954587;likableness
V1;0.541563993;likableness
V1;0.474516814;likableness
V1;0.533381248;likableness
V1;0.513084615;likableness
V1;0.529123419;likableness
V1;0.582550839;likableness
V1;0.460727487;likableness
V1;0.500220903;likableness
V1;0.470003858;likableness
V1;0.491599462;likableness
V1;0.495886848;likableness
V1;0.487700991;likableness
V1;0.51037622;likableness
V1;0.515203417;likableness
V1;0.520452198;likableness
V1;0.556213598;likableness
V1;0.517703355;likableness
V1;0.527096401;likableness
V1;0.552444245;likableness
V1;0.549001581;likableness
V1;0.540783055;likableness
V1;0.519374129;likableness
V1;0.520340191;likableness
V1;0.523096812;likableness
V1;0.581105635;likableness
