,ROI,Classification accuracy
0,LTL,0.4982546432795445
1,LTL,0.5756812630254076
2,LTL,0.4985849248754924
3,LTL,0.5066024411741262
4,LTL,0.5028980886761477
5,LTL,0.5575014482530611
6,LTL,0.5325080756603838
7,LTL,0.500016707118178
8,LTL,0.5448639047611076
9,LTL,0.5576112489550976
10,LTL,0.5714345614651892
11,LTL,0.5669676051426122
12,LTL,0.5686388897833689
13,LTL,0.5305295356923269
14,LTL,0.4639035952730683
15,LTL,0.5862420520718116
16,LTL,0.5765194077187866
17,LTL,0.5835513207279215
18,LTL,0.5344288512771921
19,LTL,0.5465643033928144
20,LTL,0.5255133906444049
21,LTL,0.529981175575067
22,LTL,0.5960902089134825
23,LTL,0.5795386086880675
24,LTL,0.5029229918710759
25,LTL,0.5741116600549276
26,LTL,0.5526629409248581
27,LTL,0.5104550502966938
28,LTL,0.5601438793576909
29,LTL,0.5879696121033301
30,IFG,0.4928842703993871
31,IFG,0.53206163075052
32,IFG,0.48275462865738783
33,IFG,0.5690547404346332
34,IFG,0.5563641826219179
35,IFG,0.5614498219188908
36,IFG,0.5319210245021634
37,IFG,0.5200234385165087
38,IFG,0.5338371146293239
39,IFG,0.5488847386024898
40,IFG,0.5748717706685436
41,IFG,0.5226720332830999
42,IFG,0.5293987231217019
43,IFG,0.5065236500542152
44,IFG,0.48301640605228613
45,IFG,0.5927904613275816
46,IFG,0.5521778134770039
47,IFG,0.5764554006792041
48,IFG,0.5622617743000128
49,IFG,0.5321773387421548
50,IFG,0.5053254774375514
51,IFG,0.5074248408428438
52,IFG,0.5309353909996058
53,IFG,0.5503505615046173
54,IFG,0.50729650927771
55,IFG,0.5568039794127135
56,IFG,0.5337223269757736
57,IFG,0.518614864408086
58,IFG,0.5571846851422777
59,IFG,0.5879434361386386
60,Prec,0.5061511029624258
61,Prec,0.5228680293345395
62,Prec,0.5097568498055771
63,Prec,0.5983843453977876
64,Prec,0.5312719699496481
65,Prec,0.5633019018953659
66,Prec,0.5333860042491048
67,Prec,0.5220260907682306
68,Prec,0.5528957366791992
69,Prec,0.5122507899352331
70,Prec,0.5489750702830408
71,Prec,0.5258036964764732
72,Prec,0.5517337151724954
73,Prec,0.5084785414026873
74,Prec,0.4564628960387859
75,Prec,0.5656993756796503
76,Prec,0.561720683504213
77,Prec,0.5473013615155473
78,Prec,0.5451202542396253
79,Prec,0.5466478029160756
80,Prec,0.5101024730414191
81,Prec,0.5486174022261504
82,Prec,0.5802694521708475
83,Prec,0.5302065900126083
84,Prec,0.479454561466365
85,Prec,0.5484007879089686
86,Prec,0.5388091540308082
87,Prec,0.5228846971989982
88,Prec,0.5399941445461444
89,Prec,0.6169693986210579
90,ATL,0.4864321205693827
91,ATL,0.5484717457267944
92,ATL,0.4754430002641028
93,ATL,0.5535429087872584
94,ATL,0.4935169162379871
95,ATL,0.5266017961058318
96,ATL,0.5436772623681004
97,ATL,0.5427565990241023
98,ATL,0.5379470622572914
99,ATL,0.5741245468489048
100,ATL,0.5136079615315556
101,ATL,0.5700072296191123
102,ATL,0.5273685164289083
103,ATL,0.4873760888795361
104,ATL,0.48951930372126184
105,ATL,0.5469739727081031
106,ATL,0.5806555096443303
107,ATL,0.5600516688412766
108,ATL,0.5392683861056822
109,ATL,0.5000911510455197
110,ATL,0.4968765155945109
111,ATL,0.4966002521295462
112,ATL,0.5397891119739898
113,ATL,0.5403137399687056
114,ATL,0.5041993170264817
115,ATL,0.5046126085457032
116,ATL,0.5246118438470426
117,ATL,0.48220907246135347
118,ATL,0.5230242282166332
119,ATL,0.5590749275038372
120,aPFC,0.4769791517090553
121,aPFC,0.5605753711567666
122,aPFC,0.5049076976901773
123,aPFC,0.5510078125952935
124,aPFC,0.5226007422924439
125,aPFC,0.5328111118995115
126,aPFC,0.5288073174338628
127,aPFC,0.5233111771109694
128,aPFC,0.5221183291412134
129,aPFC,0.5191206927261617
130,aPFC,0.5485477706149354
131,aPFC,0.5390602334685007
132,aPFC,0.5093751413191334
133,aPFC,0.5031831912108019
134,aPFC,0.462619249592245
135,aPFC,0.5549909346255819
136,aPFC,0.5805773483785616
137,aPFC,0.5674744526796771
138,aPFC,0.5426023493685709
139,aPFC,0.5533498292185783
140,aPFC,0.5337263946968668
141,aPFC,0.4796642803287362
142,aPFC,0.5446016048528278
143,aPFC,0.556596636273142
144,aPFC,0.5093925026159538
145,aPFC,0.5943221393866827
146,aPFC,0.5093177102699044
147,aPFC,0.49571466708098616
148,aPFC,0.5428909485489086
149,aPFC,0.5860484050309639
150,Ins,0.5042002974150751
151,Ins,0.5687175450517636
152,Ins,0.49615763424670944
153,Ins,0.5874556596182156
154,Ins,0.5394067016957074
155,Ins,0.5813152075821095
156,Ins,0.5326280152271824
157,Ins,0.5682214930098871
158,Ins,0.5243593018590441
159,Ins,0.5402193429825042
160,Ins,0.5525078398202617
161,Ins,0.5587726834066413
162,Ins,0.5223444554567512
163,Ins,0.5366909940857795
164,Ins,0.4643179947045052
165,Ins,0.5776622747453833
166,Ins,0.5521220460997854
167,Ins,0.5893444375161707
168,Ins,0.546733490332948
169,Ins,0.5524354070970465
170,Ins,0.5207306277824949
171,Ins,0.5075409816912837
172,Ins,0.542363510394581
173,Ins,0.5672132440992906
174,Ins,0.4953915914346973
175,Ins,0.5336502070382488
176,Ins,0.5582158225127178
177,Ins,0.5383920969892546
178,Ins,0.5551367775971662
179,Ins,0.5640272281779191
180,ACC,0.5121428641329995
181,ACC,0.5279156782416107
182,ACC,0.5098668860269094
183,ACC,0.5519282870340761
184,ACC,0.5432715986329999
185,ACC,0.5562277955202041
186,ACC,0.5316752698905824
187,ACC,0.5218107827101417
188,ACC,0.5157983321653322
189,ACC,0.5324894531189641
190,ACC,0.5573502479872887
191,ACC,0.544762024611476
192,ACC,0.5322782619590669
193,ACC,0.5131160173070143
194,ACC,0.4858338239267118
195,ACC,0.564591576005474
196,ACC,0.5805458297566511
197,ACC,0.5676808752179375
198,ACC,0.5802739068907982
199,ACC,0.5703203566138204
200,ACC,0.5165247526592919
201,ACC,0.5228901044355033
202,ACC,0.5502117300297225
203,ACC,0.5290019639976676
204,ACC,0.5121948895768853
205,ACC,0.5520048391720921
206,ACC,0.5422724396536762
207,ACC,0.5269668850138949
208,ACC,0.5142712879707642
209,ACC,0.5599359724256565
210,PCC,0.47629354320628786
211,PCC,0.5439173286593644
212,PCC,0.49998129989038
213,PCC,0.5510179723191055
214,PCC,0.5532334649576538
215,PCC,0.5831329835755509
216,PCC,0.535110611391865
217,PCC,0.5262525362445032
218,PCC,0.5335414456006052
219,PCC,0.5476995075963301
220,PCC,0.5707760866792906
221,PCC,0.4759054895165199
222,PCC,0.5683280066159622
223,PCC,0.5483834589008408
224,PCC,0.45188951605074845
225,PCC,0.5726703984553979
226,PCC,0.5726312453872604
227,PCC,0.5760854011532361
228,PCC,0.5385356557682591
229,PCC,0.5325227819611498
230,PCC,0.5341263775951869
231,PCC,0.5298053597231365
232,PCC,0.5740640515059932
233,PCC,0.5407881130229159
234,PCC,0.49239674153416446
235,PCC,0.5460407156291599
236,PCC,0.5381143098053847
237,PCC,0.5229121354901146
238,PCC,0.5504884957954594
239,PCC,0.5464460705710336
240,V1,0.5022308650525837
241,V1,0.5538910220599407
242,V1,0.51697223669712
243,V1,0.5937330556978457
244,V1,0.5226902182778214
245,V1,0.5244244379920273
246,V1,0.5338036266385938
