,ROI,Classification accuracy
0,LTL,0.6037670484350411
1,LTL,0.4845464820697019
2,LTL,0.5340383787752209
3,LTL,0.5398380085686588
4,LTL,0.5310520787262274
5,LTL,0.5247524298551257
6,LTL,0.47776733500417706
7,LTL,0.5150707093044555
8,LTL,0.5462968318231477
9,LTL,0.5616096374364894
10,LTL,0.531311612364244
11,LTL,0.586904577620522
12,LTL,0.4767755262139088
13,LTL,0.5172316756804292
14,LTL,0.5491631740415465
15,LTL,0.5261453265516733
16,LTL,0.5181376059195608
17,LTL,0.5831222793826671
18,LTL,0.5720013467691486
19,LTL,0.573217583432265
20,LTL,0.5664609012132232
21,LTL,0.5465400776793786
22,LTL,0.49727965747702596
23,LTL,0.5400654911087243
24,LTL,0.5354984683932053
25,LTL,0.4930895787856738
26,LTL,0.5729205571117337
27,LTL,0.5707944862155387
28,LTL,0.5593146556868362
29,LTL,0.5955687830687831
30,IFG,0.614125308426104
31,IFG,0.488650957459007
32,IFG,0.5329877724614567
33,IFG,0.541206030524916
34,IFG,0.5102808491817779
35,IFG,0.5033697047496791
36,IFG,0.518542660414477
37,IFG,0.48681446262715616
38,IFG,0.5457704089283036
39,IFG,0.5647783974522629
40,IFG,0.5321945488721804
41,IFG,0.579311053368716
42,IFG,0.4537712421297145
43,IFG,0.5040534450160489
44,IFG,0.49838385646656325
45,IFG,0.5137138188608777
46,IFG,0.5170712495524525
47,IFG,0.5762731777845025
48,IFG,0.5284090260096452
49,IFG,0.5850662841313813
50,IFG,0.5475570238728135
51,IFG,0.526187961924876
52,IFG,0.5004881996658312
53,IFG,0.5240306122448981
54,IFG,0.5282366269208375
55,IFG,0.4911802355350743
56,IFG,0.5298543198955995
57,IFG,0.5392155388471178
58,IFG,0.5488090762620838
59,IFG,0.5765942634363688
60,Prec,0.6339164286685706
61,Prec,0.5082596940956075
62,Prec,0.5384047239310397
63,Prec,0.5468740925397272
64,Prec,0.5317570273723525
65,Prec,0.5505822483036861
66,Prec,0.5348869485541812
67,Prec,0.4940807064452576
68,Prec,0.5558763361394939
69,Prec,0.5841125710018711
70,Prec,0.5324133249791145
71,Prec,0.5961449886972333
72,Prec,0.4913611518633983
73,Prec,0.5514932842943272
74,Prec,0.5176961720360659
75,Prec,0.5305730625583567
76,Prec,0.510734574531567
77,Prec,0.5294502380823057
78,Prec,0.5684520987152566
79,Prec,0.5656015037593987
80,Prec,0.5596917874007658
81,Prec,0.524874586717592
82,Prec,0.5088011695906433
83,Prec,0.5497437044993436
84,Prec,0.5135110503531556
85,Prec,0.4528094429622443
86,Prec,0.5184593632774747
87,Prec,0.5412130325814536
88,Prec,0.5739775032820145
89,Prec,0.5592009537733221
90,ATL,0.5745453750655709
91,ATL,0.47604870762765505
92,ATL,0.5419267866636287
93,ATL,0.5450733190671271
94,ATL,0.48399976657329596
95,ATL,0.5428540864356012
96,ATL,0.4980278316759641
97,ATL,0.48728910623260463
98,ATL,0.5614479575005892
99,ATL,0.5693284202855297
100,ATL,0.5191677109440267
101,ATL,0.5597078173374612
102,ATL,0.4819836685208958
103,ATL,0.5054774772328138
104,ATL,0.5285323778634261
105,ATL,0.49692153177060294
106,ATL,0.5134658073755818
107,ATL,0.5456412574263315
108,ATL,0.5373683612847701
109,ATL,0.5646336235325154
110,ATL,0.5230582025473666
111,ATL,0.5218313467777972
112,ATL,0.5141280284043442
113,ATL,0.536969507101086
114,ATL,0.5108440292650818
115,ATL,0.5060500714150968
116,ATL,0.505500761708192
117,ATL,0.500531328320802
118,ATL,0.5531480486931617
119,ATL,0.5769219054580897
120,aPFC,0.6186517650715937
121,aPFC,0.5286835999684297
122,aPFC,0.5699343054606212
123,aPFC,0.5451668758944301
124,aPFC,0.5310168497223451
125,aPFC,0.5095553925464067
126,aPFC,0.48663577626862853
127,aPFC,0.524175718931911
128,aPFC,0.554885611464559
129,aPFC,0.5510075703366499
130,aPFC,0.5123214285714285
131,aPFC,0.5738043945648436
132,aPFC,0.48656129653401803
133,aPFC,0.5125814730324263
134,aPFC,0.5117070804930158
135,aPFC,0.5327410130718954
136,aPFC,0.4843286788399571
137,aPFC,0.5533760226158793
138,aPFC,0.5887601887601889
139,aPFC,0.5895643714549531
140,aPFC,0.5336465793122139
141,aPFC,0.5293374081578776
142,aPFC,0.534561925647452
143,aPFC,0.5145160520348491
144,aPFC,0.5116883116883117
145,aPFC,0.5073341957043145
146,aPFC,0.5438213248262268
147,aPFC,0.5387593984962405
148,aPFC,0.5906182121971597
149,aPFC,0.5644480123920913
150,Ins,0.6013189465912844
151,Ins,0.5193507759297232
152,Ins,0.541581858687122
153,Ins,0.5341913160798609
154,Ins,0.5346902489065801
155,Ins,0.5521226847606822
156,Ins,0.5312363570215862
157,Ins,0.5168269660336224
158,Ins,0.5858422766317504
159,Ins,0.5613059430019334
160,Ins,0.5256887009189641
161,Ins,0.56546845053811
162,Ins,0.453571046518736
163,Ins,0.5450162752081443
164,Ins,0.4997467700530505
165,Ins,0.532841755123102
166,Ins,0.5311815252416756
167,Ins,0.5473065403446697
168,Ins,0.5648421530774471
169,Ins,0.5529794881941696
170,Ins,0.5569811337613196
171,Ins,0.5459702893805422
172,Ins,0.5076634294068505
173,Ins,0.5407260711302064
174,Ins,0.49577732209311154
175,Ins,0.4911593499878729
176,Ins,0.5411904284130806
177,Ins,0.49488721804511276
178,Ins,0.5846012352309345
179,Ins,0.5715508389028127
180,ACC,0.5861967175691165
181,ACC,0.5410994062696849
182,ACC,0.5184837092731829
183,ACC,0.5089075183502428
184,ACC,0.5514951287532557
185,ACC,0.5437470709293559
186,ACC,0.513664706120139
187,ACC,0.5158521303258146
188,ACC,0.5603790459053617
189,ACC,0.5503123542955907
190,ACC,0.5389259607351713
191,ACC,0.5414789424541746
192,ACC,0.469025459991442
193,ACC,0.5247485328388051
194,ACC,0.5235570544007077
195,ACC,0.5493726657329598
196,ACC,0.539076262083781
197,ACC,0.5570282776083655
198,ACC,0.5468168300985639
199,ACC,0.5692735127291915
200,ACC,0.5704485143339632
201,ACC,0.49582749766573303
202,ACC,0.5229814118629907
203,ACC,0.5290146497195369
204,ACC,0.5372047543100175
205,ACC,0.4838925270164659
206,ACC,0.5257476206857012
207,ACC,0.5298020050125314
208,ACC,0.5486894319131163
209,ACC,0.5997937552213868
210,PCC,0.5721896796254202
