,ACC,LTL,ATL,IFG,Ins,PCC,aPFC,Prec,V1,PM
0,0.680704898446834,0.5997517174432496,0.6152927120669057,0.5073349138789327,0.5397889909398645,0.48906685583432896,0.6283555480884111,0.6462689167662286,0.5180191532258064,0.5000342244125847
1,0.5714605734767025,0.5949774118876942,0.6044202384508164,0.5393534075069693,0.5507268020708881,0.5647603668857029,0.5430216422739944,0.5465949820788532,0.513509309040223,0.5523151259458382
2,0.6573560707885304,0.6712916293309438,0.5647603668857029,0.6626095181202708,0.5745734393667862,0.5713532332735961,0.6036626344086021,0.6142286439665472,0.5186445265830346,0.63304740392274
3,0.5363323252688171,0.5284669329948227,0.5035686728395061,0.5429858622062923,0.5500189789924332,0.5398652180406213,0.5443610613301474,0.535426933990442,0.5437372436280365,0.5154289874551972
4,0.6440318847072879,0.6182733472720031,0.5598522749900438,0.5626913455794503,0.5700791517323774,0.5508932571684587,0.5602474113898844,0.5713485663082437,0.5369545873158104,0.5556675627240143
5,0.5713719011350059,0.6613089904420549,0.5464285269812824,0.6481341472520907,0.5629106929510155,0.5766455719832736,0.6339014585822381,0.6176573078454799,0.5415639934289128,0.5654915247909199
6,0.654230759657507,0.5857772675228993,0.554461930007965,0.5621982029072083,0.5196432571684587,0.5811600831342095,0.5820639187574671,0.5858566059338908,0.47451681352050973,0.5501340974711271
7,0.5946600582437276,0.6829745992632417,0.552343127737953,0.5640929908403026,0.5421598093389088,0.5663751368976504,0.5717499253285544,0.6206068299482278,0.5333812475109518,0.518848317403425
8,0.6092225457984867,0.6592368578255675,0.5123721251493429,0.5727066532258065,0.5175555680007965,0.5666784896455596,0.5711587763839108,0.63211401085225,0.5130846151931501,0.4982529993030665
9,0.654011412285942,0.6673713784348865,0.5676336618876943,0.6284691109119872,0.5783910170250895,0.6183153499601752,0.6036921918558343,0.6658406137992832,0.5291234194544007,0.569526894165671
10,0.6870084129828754,0.6662186379928317,0.6302285568498606,0.6169977100756672,0.6063772525886101,0.6272510329549981,0.6671784772003186,0.6708327110712863,0.5825508388092393,0.6057612131620869
11,0.5526480361409797,0.55008898347272,0.5283564814814815,0.510466447630426,0.5462698501592991,0.5198283801274393,0.5250009333930705,0.5806093812226204,0.46072748655913975,0.5240862081839905
12,0.5220327434289128,0.5246275761648744,0.45772973914774995,0.49542481829948226,0.4777199074074074,0.5119412086818,0.450693511051374,0.5086307745917961,0.5002209030266825,0.5014312027080844
13,0.5635407332735962,0.602850582437276,0.49909772003185976,0.5652706217642374,0.5664918110314616,0.5718728220828355,0.5509539277180406,0.5697804659498208,0.47000385802469136,0.5507345803464755
14,0.5201363998407009,0.5030537509956192,0.5273281934488251,0.48003627787733966,0.5058057048984468,0.5262656810035843,0.519350794006372,0.522754567403425,0.49159946236559143,0.48799656511350065
15,0.6808464630625248,0.600135964257268,0.5559195788530467,0.6113024566905616,0.5571827708084429,0.5135404221425727,0.6144495469932298,0.5703716148944644,0.4958868478693748,0.5801006819992035
16,0.5080022899243329,0.49529414326961363,0.5239570888092393,0.5362156511350059,0.5370292587614497,0.5290549706292315,0.5381026607925129,0.5359683019713262,0.4877009906411788,0.5043091646754282
17,0.5675698800278773,0.5575872411389885,0.46961961121067297,0.5279986808044603,0.5315393518518519,0.5494573874950218,0.4737934338908801,0.5464067478096375,0.510376219633612,0.5609427892273994
18,0.542372934090004,0.5807431675627239,0.5531489570888093,0.5917914302070888,0.5543328106332138,0.5123394563918757,0.5636511847869374,0.5424491611907606,0.5152034174631621,0.5628749128833134
19,0.5499816432696136,0.5880936379928317,0.5800602349661489,0.5451886698526484,0.5486064441457587,0.594246253982477,0.5543561454599761,0.5963743901831939,0.52045219782955,0.5175182322779769
20,0.7243425801473516,0.6930225756670649,0.6583330222023099,0.648530839307049,0.6010818025686977,0.5822443747510953,0.7096323053564317,0.6578772152528873,0.5562135976702509,0.5821774815810433
21,0.5933719758064515,0.6050020534647551,0.5825212813620071,0.5800073426921546,0.5995899293110315,0.565395074173636,0.6044746863799283,0.5575047914177618,0.5177033552369573,0.6007940063719632
22,0.5856528151135006,0.5947860663082437,0.5398372162485066,0.590433343289526,0.5285882740939865,0.5880796370967741,0.5920714481282358,0.5828215227996814,0.5270964008363201,0.5544603743528475
23,0.6630466572082836,0.62086506869773,0.5599347247112704,0.5996863799283154,0.5922285692951015,0.5804553713659897,0.6140404096973318,0.6204839331939467,0.5524442453205894,0.5900537634408602
24,0.6502482825567503,0.6170537136598965,0.5929628385105535,0.5825601727399443,0.5528051573078455,0.592101005575468,0.584839207487057,0.6273708183990443,0.5490015805455993,0.5791610663082437
25,0.5883565437076861,0.6021785394265232,0.49552749153723613,0.567546545201115,0.5780721077260056,0.5392678464755077,0.5711494424532059,0.5957925751692553,0.5407830545599362,0.549640954798885
26,0.597981381919554,0.6058343289526086,0.5074764784946236,0.6251866786140979,0.6107548660892075,0.5553673212863401,0.5808240616288332,0.5797428813221823,0.5193741288331343,0.5896975184189566
27,0.5356338361210673,0.5411548561330147,0.5636791865790521,0.5531365118478694,0.5583292886300278,0.5508590327558741,0.4921626095181203,0.5371272650338511,0.5203401906610912,0.5490155814416567
28,0.7153244474313023,0.7222626692552768,0.5690586419753086,0.677291791119076,0.5984387445240941,0.6453759707287933,0.6985047043010751,0.686311479490243,0.5230968115292712,0.617016377937077
29,0.5812674233373157,0.6428293633014736,0.5440997112704101,0.6162136598964555,0.6012233671843887,0.5484010976702509,0.5509648173038629,0.6076606680605338,0.5811056352050975,0.6024990043807248
