ID;1_LTL;2_IFG;3_Prec;4_ATL;5_aPFC;6_Ins;7_ACC;8_PCC;9_V1;10_PM;1_LTL_2;2_IFG_2;3_Prec_2;4_ATL_2;5_aPFC_2;6_Ins_2;7_ACC_2;8_PCC_2;9_V1_2;10_PM_2
sub-001;0.7210648148148148;0.658344356261023;0.720844356261023;0.6316688712522046;0.7003692680776015;0.687555114638448;0.6646274250440918;0.5984623015873016;0.6359953703703703;0.6515101410934745;0.7542438271604939;0.6435736331569666;0.7938436948853614;0.6971726190476191;0.7318121693121692;0.7175374779541447;0.7918320105820106;0.6119653880070547;0.6479276895943563;0.6429673721340389
sub-002;0.7808366402116402;0.7249228395061729;0.7127425044091711;0.6950507054673721;0.7178406084656085;0.7468584656084656;0.705191798941799;0.6768077601410935;0.7114748677248677;0.6746307319223985;0.7385085978835979;0.6746307319223986;0.7288910934744268;0.708664021164021;0.6748236331569665;0.7243716931216931;0.7240961199294532;0.7448743386243386;0.6398533950617284;0.724592151675485
sub-003;0.703290343915344;0.6765321869488535;0.7005621693121693;0.6019345238095238;0.6831459435626103;0.7214781746031745;0.6428571428571428;0.6663084215167548;0.7104552469135802;0.6659501763668431;0.8010361552028219;0.7584600970017638;0.7530864197530864;0.6305390211640212;0.7185295414462082;0.7323082010582012;0.783068783068783;0.6576278659611993;0.6332396384479718;0.7700617283950617
sub-004;0.7749393738977072;0.7274029982363316;0.7361111111111112;0.5895337301587301;0.7307925485008818;0.7231591710758378;0.7689594356261023;0.6985504850088183;0.6646274250440918;0.7621252204585538;0.6851025132275133;0.7006172839506173;0.7024085097001763;0.6100639329805996;0.6786816578483245;0.736304012345679;0.7024911816578483;0.6708002645502645;0.658344356261023;0.7091049382716049
sub-005;0.6683476631393298;0.6537422839506173;0.6712962962962963;0.5670745149911817;0.6080798059964726;0.6733906525573192;0.6620094797178131;0.6684854497354498;0.5895061728395061;0.6617890211640212;0.7713018077601411;0.7122464726631393;0.7333278218694885;0.6519235008818342;0.6993772045855379;0.7469686948853616;0.7838128306878308;0.6702215608465609;0.6575727513227514;0.7002039241622574
sub-006;0.5530753968253967;0.6690641534391535;0.6988260582010583;0.6697530864197531;0.570353835978836;0.6686783509700177;0.6280588624338624;0.6987985008818342;0.6187720458553791;0.6534667107583774;0.7917768959435626;0.7701168430335096;0.7741677689594355;0.6271494708994709;0.7697034832451499;0.73831569664903;0.7214781746031745;0.7360559964726632;0.699211860670194;0.7146715167548502
sub-007;0.7100694444444444;0.6479552469135802;0.7115850970017638;0.5534887566137566;0.5979387125220459;0.7107859347442681;0.6566633597883598;0.6793705908289243;0.6297398589065255;0.7029320987654321;0.7054122574955908;0.6551201499118166;0.7269069664902998;0.6534391534391535;0.6998732363315697;0.6792328042328043;0.7670304232804233;0.7417879188712523;0.5756448412698413;0.6683201058201058
sub-008;0.7039241622574955;0.6714616402116402;0.6841655643738977;0.5924272486772486;0.611331569664903;0.6973930776014109;0.7170138888888888;0.6772211199294533;0.6038359788359788;0.646329365079365;0.80855930335097;0.6748511904761905;0.7701444003527337;0.6745756172839507;0.6559744268077601;0.6962356701940036;0.705081569664903;0.6987709435626103;0.6329640652557319;0.6650407848324515
sub-009;0.705109126984127;0.6951333774250441;0.6885196208112875;0.5790343915343915;0.6398533950617284;0.7134865520282188;0.6779927248677249;0.6761739417989417;0.5368441358024691;0.6650683421516755;0.7841435185185185;0.718639770723104;0.7755731922398589;0.607390873015873;0.6451168430335097;0.6680720899470899;0.720679012345679;0.7036485890652557;0.6304563492063492;0.6497189153439153
sub-010;0.6579861111111112;0.6098159171075838;0.630621693121693;0.617146164021164;0.5966986331569665;0.6151069223985891;0.6254409171075838;0.6266258818342152;0.6208112874779541;0.5754519400352733;0.8253417107583774;0.7366622574955908;0.795028659611993;0.6429398148148148;0.7023258377425043;0.7510471781305115;0.7482914462081129;0.7415674603174603;0.6607694003527337;0.7137896825396827
sub-011;0.707093253968254;0.665922619047619;0.67975639329806;0.603670634920635;0.5823137125220459;0.669918430335097;0.6493331128747795;0.689346340388007;0.6651510141093474;0.6859843474426808;0.7488425925925926;0.712990520282187;0.7701444003527336;0.7224977954144621;0.7347883597883598;0.7377645502645502;0.783261684303351;0.7290839947089947;0.6805555555555556;0.7291391093474427
sub-012;0.6742449294532628;0.6518959435626103;0.7282021604938271;0.670111331569665;0.6515376984126984;0.6705246913580247;0.7589836860670194;0.6807760141093474;0.667961860670194;0.7110890652557319;0.6841655643738977;0.6495811287477954;0.7364417989417988;0.6330742945326279;0.6207561728395061;0.7170138888888888;0.6849922839506173;0.6485339506172839;0.5047123015873016;0.6853780864197531
sub-013;0.7377645502645502;0.7433311287477954;0.732501102292769;0.6427744708994708;0.6209766313932981;0.7613536155202822;0.70706569664903;0.6907793209876543;0.6859567901234568;0.732501102292769;0.5994268077601411;0.6217482363315697;0.6339285714285714;0.49939373897707234;0.49352402998236333;0.6219135802469136;0.6200672398589064;0.6170359347442681;0.6071979717813051;0.626763668430335
sub-014;0.7709986772486773;0.6790674603174603;0.7294422398589065;0.6628361992945325;0.7554012345679012;0.7419257054673721;0.7158013668430335;0.7224702380952381;0.6817129629629629;0.7251157407407407;0.7201278659611993;0.6841380070546736;0.6930941358024691;0.5782903439153438;0.6297949735449736;0.7295524691358025;0.6700837742504409;0.6732528659611993;0.5586695326278659;0.6850473985890654
sub-015;0.67975639329806;0.7260802469135802;0.7444334215167548;0.6277006172839507;0.7270447530864198;0.7114197530864198;0.6589781746031745;0.747988315696649;0.609457671957672;0.765459656084656;0.5924272486772486;0.5915454144620811;0.6533289241622574;0.5861441798941799;0.5804122574955909;0.6315035273368605;0.5986827601410935;0.6612378747795415;0.5992614638447972;0.6353339947089947
sub-016;0.7222773368606702;0.7302414021164021;0.7790729717813051;0.591986331569665;0.6860670194003528;0.7143132716049383;0.7469962522045855;0.7435515873015873;0.5961199294532628;0.7626763668430335;0.6507660934744268;0.7106481481481481;0.7232142857142857;0.658206569664903;0.6746582892416226;0.7172619047619048;0.7571373456790124;0.6017416225749559;0.611469356261023;0.7009755291005292
sub-017;0.6482583774250441;0.644483024691358;0.6760085978835979;0.6531911375661376;0.6567184744268078;0.6945546737213404;0.6452270723104057;0.6571318342151675;0.6539627425044091;0.6723710317460317;0.5872740299823633;0.6489748677248677;0.6527502204585538;0.6159611992945326;0.6267361111111112;0.6537698412698412;0.6222442680776015;0.6286926807760141;0.5513392857142857;0.6149140211640212
sub-018;0.6863150352733687;0.687610229276896;0.665922619047619;0.6384479717813051;0.671792328042328;0.6900628306878307;0.6677689594356261;0.6404045414462082;0.6416170634920635;0.6526675485008818;0.69524360670194;0.6459160052910053;0.6994598765432098;0.5544257054673721;0.578235229276896;0.6988811728395061;0.7102347883597884;0.6556437389770724;0.6315861992945325;0.7142305996472663
sub-019;0.7098214285714286;0.6518408289241622;0.6852127425044091;0.7079475308641975;0.7170138888888888;0.7065972222222222;0.6623401675485009;0.6545690035273368;0.6512621252204585;0.734209656084656;0.6743000440917107;0.7068727954144621;0.6547067901234568;0.6087962962962963;0.6716820987654322;0.6713789682539683;0.6473489858906526;0.5981040564373898;0.6349757495590829;0.667879188712522
