ID;LTL;IFG;Prec;ATL;aPFC;Ins;ACC;PCC;V1;PM
sub-001;0.7542438271604939;0.6435736331569666;0.7938436948853614;0.6971726190476191;0.7318121693121692;0.7175374779541447;0.7918320105820106;0.6119653880070547;0.6479276895943563;0.6429673721340389
sub-002;0.7385085978835979;0.6746307319223986;0.7288910934744268;0.708664021164021;0.6748236331569665;0.7243716931216931;0.7240961199294532;0.7448743386243386;0.6398533950617284;0.724592151675485
sub-003;0.8010361552028219;0.7584600970017638;0.7530864197530864;0.6305390211640212;0.7185295414462082;0.7323082010582012;0.783068783068783;0.6576278659611993;0.6332396384479718;0.7700617283950617
sub-004;0.6851025132275133;0.7006172839506173;0.7024085097001763;0.6100639329805996;0.6786816578483245;0.736304012345679;0.7024911816578483;0.6708002645502645;0.658344356261023;0.7091049382716049
sub-005;0.7713018077601411;0.7122464726631393;0.7333278218694885;0.6519235008818342;0.6993772045855379;0.7469686948853616;0.7838128306878308;0.6702215608465609;0.6575727513227514;0.7002039241622574
sub-006;0.7917768959435626;0.7701168430335096;0.7741677689594355;0.6271494708994709;0.7697034832451499;0.73831569664903;0.7214781746031745;0.7360559964726632;0.699211860670194;0.7146715167548502
sub-007;0.7054122574955908;0.6551201499118166;0.7269069664902998;0.6534391534391535;0.6998732363315697;0.6792328042328043;0.7670304232804233;0.7417879188712523;0.5756448412698413;0.6683201058201058
sub-008;0.80855930335097;0.6748511904761905;0.7701444003527337;0.6745756172839507;0.6559744268077601;0.6962356701940036;0.705081569664903;0.6987709435626103;0.6329640652557319;0.6650407848324515
sub-009;0.7841435185185185;0.718639770723104;0.7755731922398589;0.607390873015873;0.6451168430335097;0.6680720899470899;0.720679012345679;0.7036485890652557;0.6304563492063492;0.6497189153439153
sub-010;0.8253417107583774;0.7366622574955908;0.795028659611993;0.6429398148148148;0.7023258377425043;0.7510471781305115;0.7482914462081129;0.7415674603174603;0.6607694003527337;0.7137896825396827
sub-011;0.7488425925925926;0.712990520282187;0.7701444003527336;0.7224977954144621;0.7347883597883598;0.7377645502645502;0.783261684303351;0.7290839947089947;0.6805555555555556;0.7291391093474427
sub-012;0.6841655643738977;0.6495811287477954;0.7364417989417988;0.6330742945326279;0.6207561728395061;0.7170138888888888;0.6849922839506173;0.6485339506172839;0.5047123015873016;0.6853780864197531
sub-013;0.5994268077601411;0.6217482363315697;0.6339285714285714;0.49939373897707234;0.49352402998236333;0.6219135802469136;0.6200672398589064;0.6170359347442681;0.6071979717813051;0.626763668430335
sub-014;0.7201278659611993;0.6841380070546736;0.6930941358024691;0.5782903439153438;0.6297949735449736;0.7295524691358025;0.6700837742504409;0.6732528659611993;0.5586695326278659;0.6850473985890654
sub-015;0.5924272486772486;0.5915454144620811;0.6533289241622574;0.5861441798941799;0.5804122574955909;0.6315035273368605;0.5986827601410935;0.6612378747795415;0.5992614638447972;0.6353339947089947
sub-016;0.6507660934744268;0.7106481481481481;0.7232142857142857;0.658206569664903;0.6746582892416226;0.7172619047619048;0.7571373456790124;0.6017416225749559;0.611469356261023;0.7009755291005292
sub-017;0.5872740299823633;0.6489748677248677;0.6527502204585538;0.6159611992945326;0.6267361111111112;0.6537698412698412;0.6222442680776015;0.6286926807760141;0.5513392857142857;0.6149140211640212
sub-018;0.69524360670194;0.6459160052910053;0.6994598765432098;0.5544257054673721;0.578235229276896;0.6988811728395061;0.7102347883597884;0.6556437389770724;0.6315861992945325;0.7142305996472663
sub-019;0.6743000440917107;0.7068727954144621;0.6547067901234568;0.6087962962962963;0.6716820987654322;0.6713789682539683;0.6473489858906526;0.5981040564373898;0.6349757495590829;0.667879188712522
sub-020;0.7234071869488536;0.6716545414462081;0.7348159171075839;0.6832561728395061;0.66793430335097;0.7055776014109347;0.6834766313932981;0.7131558641975309;0.6571593915343915;0.673721340388007
sub-021;0.82418430335097;0.7902336860670194;0.8001267636684304;0.748043430335097;0.8347387566137565;0.7719356261022928;0.84402557319224;0.6775242504409171;0.6832286155202822;0.7542162698412699
sub-022;0.775407848324515;0.7201278659611993;0.7320601851851852;0.673914241622575;0.7439649470899471;0.777557319223986;0.7201003086419753;0.7002590388007054;0.5901951058201058;0.7547398589065255
sub-023;0.7503858024691358;0.7265487213403881;0.7243441358024691;0.6560570987654321;0.7142581569664902;0.6949680335097002;0.7018022486772487;0.714754188712522;0.6496086860670195;0.7229938271604939
sub-024;0.7478780864197531;0.7142030423280423;0.7500551146384481;0.6432153880070547;0.6760912698412699;0.736166225749559;0.7618496472663139;0.6832010582010581;0.6507936507936508;0.7238756613756614
sub-025;0.7503306878306878;0.728670634920635;0.7861552028218695;0.6759810405643738;0.6975584215167548;0.6943617724867724;0.7698688271604939;0.7297178130511464;0.6564980158730158;0.7199074074074074
sub-026;0.7573578042328042;0.7067074514991182;0.7647431657848325;0.5722001763668431;0.7076444003527336;0.7548500881834215;0.7406029541446209;0.6905313051146384;0.6421957671957671;0.703152557319224
sub-027;0.7243716931216931;0.7508818342151675;0.7110890652557319;0.5754519400352733;0.667906746031746;0.7970954585537918;0.7228009259259259;0.644317680776014;0.6152998236331569;0.7371582892416226
sub-028;0.601410934744268;0.6425540123456789;0.6293264991181658;0.6177799823633157;0.5212191358024691;0.6759259259259259;0.63668430335097;0.6414792768959435;0.6014384920634921;0.6762566137566137
sub-029;0.820546737213404;0.8071538800705467;0.8142636684303353;0.6625881834215167;0.8043154761904762;0.7550981040564374;0.8099922839506173;0.7760416666666666;0.6080246913580247;0.7573578042328042
sub-030;0.7763723544973544;0.7489528218694885;0.7736441798941799;0.6313381834215168;0.6215553350970017;0.7671406525573192;0.7412643298059964;0.693452380952381;0.6926807760141094;0.7586805555555556
