,1_LTL,2_IFG,3_Prec,4_ATL,5_aPFC,6_Ins,7_ACC,8_PCC,9_V1,10_PM
corrected,4.042277887804772e-06,2.643360448328344e-10,1.8432688884672368e-09,1.2697026043084868e-10,8.184024925902595e-09,4.0845797693864807e-13,2.0344190171652085e-08,1.9536413393773544e-13,1.8549148124411974e-15,1.0337533330335734e-13
mean,0.44070622037871693,0.4234779514229103,0.43137968950726163,0.4112511884802694,0.41080439701410204,0.41089446295207627,0.4247955768574767,0.41635954431307654,0.3846582166626748,0.4006837617305724
uncorrected,4.042277887804772e-06,1.5860162689970064e-10,1.2902882219270657e-09,6.348513021542434e-11,6.547219940722077e-09,1.6338319077545923e-13,1.8309771154486878e-08,5.860924018132063e-14,1.8549148124411977e-16,2.067506666067147e-14
