affect;likableness
0.6359953703703703;0.6479276895943563
0.7114748677248677;0.6398533950617284
0.7104552469135802;0.6332396384479718
0.6646274250440918;0.658344356261023
0.5895061728395061;0.6575727513227514
0.6187720458553791;0.699211860670194
0.6297398589065255;0.5756448412698413
0.6038359788359788;0.6329640652557319
0.5368441358024691;0.6304563492063492
0.6208112874779541;0.6607694003527337
0.6651510141093474;0.6805555555555556
0.667961860670194;0.5047123015873016
0.6859567901234568;0.6071979717813051
0.6817129629629629;0.5586695326278659
0.609457671957672;0.5992614638447972
0.5961199294532628;0.611469356261023
0.6539627425044091;0.5513392857142857
0.6416170634920635;0.6315861992945325
0.6512621252204585;0.6349757495590829
0.6169532627865961;0.6571593915343915
0.6353891093474427;0.6832286155202822
0.6621748236331569;0.5901951058201058
0.6305390211640212;0.6496086860670195
0.6448412698412699;0.6507936507936508
0.6135912698412699;0.6564980158730158
0.6182760141093474;0.6421957671957671
0.6266534391534391;0.6152998236331569
0.6709380511463844;0.6014384920634921
0.6755125661375662;0.6080246913580247
0.6302083333333334;0.6926807760141094
