affect;likableness
0.5857893303520237;0.5106448523791748
0.5561003842326404;0.6835209699781369
0.5935972488410569;0.6212908156917116
0.5677590370943699;0.6056088803569206
0.5995464560093043;0.6421333697719476
0.6043297966116271;0.6151084715334435
0.586760604278261;0.5780998373593559
0.6075398872999492;0.6079576156703816
0.5858084754369584;0.544159712223822
0.6228761689251724;0.5834003226150483
0.5881215113969565;0.6541320055457793
0.6093433005512147;0.6058340665493521
0.5890411665397153;0.6123591336497273
0.6174799936421937;0.7282517019499104
0.6013137226747424;0.5464598997493735
0.5865463226591806;0.6261519268028227
0.6366230245753272;0.6163289429246877
0.5371151274837421;0.5558209575356832
0.5865193262977706;0.5774518299294336
0.6291708770496504;0.6302204980536448
0.5874885846151326;0.5443350175083098
0.6445055333902566;0.6104435512540216
0.5924366932445493;0.5758931904228657
0.5748123180193129;0.6320622033807924
0.5817690800735499;0.6190379539273715
0.5827890037593985;0.6039159290069145
0.590202470790948;0.6678443671234825
0.5531277130735335;0.5505240815216336
0.5783429992976723;0.6323837074956897
0.6380105633262078;0.6629528164382588
